disease	mesh_id
muscle spasms	D013035
insomnia	D007319
psychogenic catatonia	D002389
atrial fibrillation	D001281
atrial flutter	D001282
noncompensatory sinus tachycardia	D013616
multiple myeloma	D009101
mantle cell lymphoma	D020522
parkinson disease	D010300
postencephalitic parkinsonism	D010301
parkinsonism	D020734
hyperlipidemia	D006949
overweight	D050177
dysrhythmias	D001145
chickenpox - varicella	D002644
herpes zoster	D006562
herpes simplex	D006561
fungal infections	D009181
candida infections	D002180
cryptococcal meningitis	D016919
uti	D014552
urinary tract infection	D014552
peritonitis	D010532
inflammation of the peritoneum	D007249
fungal infection	D009181
type ii diabetes mellitus	D003924
influenza a and b infection	C531629
influenza	D007251
respiratory infections	D012141
upper respiratory tract infections	D012141
listeriosis	D008088
pertussis	D014917
whooping cough	D014917
pertussis infection	D014917
respiratory tract infections	D012141
legionnaires  disease	D007877
rheumatic fever	D012213
skin infections	D012874
skin or skin structure infections	D013207
erythrasma	D004894
infectious condition	D003141
intestinal amebiasis	D004404
extraenteric amebiasis	D004749
syphilis	D013587
treponema pallidum	D013587
penicillin hypersensitivity	D003877
chlamydial infections	D002690
conjunctivitis	D003231
pneumonia of infancy	D011014
urogenital infections	D007239
rectal, urethral and endocervical infections	D007239
nongonococcal urethritis	D014526
pernicious anemia	D000752
celiac	D002446
hyperthyroidism	D006980
tract disease	D001660
pancreatic cancer	D010190
cyanide poisoning	D011041
bronchopulmonary dysplasia	D001997
respiratory depression	D012131
erectile dysfunction	D007172
pulmonary hypertension	D006976
pulmonary arterial hypertension	C536282
pah	D010661
connective tissue disease	D003240
af	D001281
afl	D001282
toxoplasmosis	D014123
acute malaria	D008288
chronic obstructive pulmonary disease	D029424
pharyngitis	D010612
tonsillitis	D014069
urethritis	D014526
cervicitis	D002575
chancroid	D002602
overactive bladder	D053201
urge urinary incontinence	D053202
acne vulgaris	D000152
orthostatic hypotension	D007024
oh	C537860
gastroesophageal reflux disease	D005764
gerd	D005764
zollinger-ellison syndrome	D015043
hypersecretory conditions	D012734
heartburn	D006356
edema	D004487
renal or hepatic diseases	D007674
kidney failure	D051437
sexual dysfunction	D020018
obsessive-compulsive disorder	D009771
diabetic neuropathy	D003929
migraine	D008881
aura	D004827
sinus and lung infections	D008174
sinusitis	D012852
pneumonia	D011014
bacterial conjunctivitis	D003234
wheezing	D012135
type 2 diabetes	D003924
hypoglycemic	D007003
pruritic	D011536
corticosteroid responsive dermatoses	D012871
abnormalities in the blood-brain barrier)	D002526
atherosclerotic vascular disease	D050197
cvd	D002318
coronary artery disease	D003324
ischemic attack	D002546
tia	D002546
carotid disease	D002340
peripheral artery disease	D058729
claudication	D007383
abdominal aortic aneurysm	D017544
neuropathic pain	D009437
diabetic peripheral neuropathy	D003929
postherpetic neuralgia	D051474
spinal cord injury	D013119
hepatic cirrhosis	D005355
tuberculosis	D014376
polycythaemia vera	D011087
chronic myeloid leukaemia	D015464
hiv-1 infection	D015658
dermal fungal infection	D009181
corticosteroid-responsive dermatoses	D012871
tension (or muscle contraction) headache	D018781
leukemic reticuloendotheliosis	D007943
chronic angina	D060050
arrhythmias	D001145
microvascular coronary dysfunction	D007172
arrhythmia	D001145
extrapyramidal disorders	D001480
extrapyramidal symptoms	D001480
akathisia	D011595
bradykinesia	D018476
tremors	D014202
neurological disorders	D009422
slow movement	D001264
vascular headache	D014653
prolactinoma	D015175
prolactin-secreting adenomas	D015175
parkinsonian syndrome	D020734
keratoconjunctivitis	D007637
keratitis caused by	D007634
herpes simplex virus	D020803
leprosy	D007918
dermatitis herpetiformis	D003874
candidiasis	C536777
yeast-like fungal infection	D009181
grand mal seizures	D004830
tonic-clonic status epilepticus	D013226
allergic conjunctivitis	D003233
vernal conjunctivitis	D003233
episcleritis	D015423
rocky mountain spotted fever	D012373
typhus fever	D014438
typhus	D014438
q fever	D011778
rickettsialpox	D012288
tick fevers	D000712
psittacosis	D009956
ornithosis	D009956
trachoma	D014141
urethral, endocervical or rectal infections	D007239
staphylococcal infection	D013203
streptococcal infections	D013290
miscarriage	D000022
premature delivery	D047928
acne	D000152
urinary tract infections	D014552
bronchitis	D001991
rickettsial infections	D012282
dermal infections	D007239
diaper rash	D003963
leukemia	D007938
hyperphosphatemia	D054559
kidney disease	D007674
vulvovaginitis	D014848
tb	D014376
thrombocythemia	D013922
malignant neoplasms	D009369
thrombocythemia symptoms	D013922
thrombo-hemorrhagic events	D064420
brain tumors	D001932
hodgkin's disease	D006689
non-hodgkin's lymphomas	D008228
meningococcal meningitis	D008585
inclusion conjunctivitis	D003235
nocardiosis	D009617
bacterial infections	D001424
thyroid storm	D013958
pruritic skin	D054705
female gynecologic and obstetric infections	D007239
restless legs syndrome	D012148
tonic-clonic seizures	D012640
generalized tonic-clonic seizures	D004830
lennox-gastaut syndrome	C535500
mood disorders	D019964
type 2 diabetes-associated nephropathy	D009081
acute myeloid leukaemia	D015470
airflow obstruction	D029424
hypothyroidism	D007037
croaky voice	D014832
constipation	D003248
lethargy	D053609
benign nodules	D018248
subacute thyroiditis	D013968
cardiac dysrhythmias	D001145
paget's disease of bone	D010001
breast cancer	D001943
osteolytic lesions	D030981
sneezing	D012912
rhinorrhea	D002559
pruritus	D011537
allergic skin manifestations of urticaria	D012877
angioedema	D000799
diabetes type ii	D003924
mdd	D003865
social anxiety disorder	D010698
social phobia	D010698
panic disorder	D016584
agoraphobia	D000379
migraine headaches	D008881
vasomotor symptoms	D003027
hypogonadism	D007006
androgen-dependent carcinoma of the prostate	D011471
postmenopausal osteoporosis	D015663
open-angle glaucoma	D005902
ocular hypertension	D009798
paediatric glaucoma	D005901
malignant neoplasm	D009369
squamous cell carcinoma	D002294
lymphomas	D008223
chronic lymphatic (lymphocytic) leukemia	D015451
childhood minimal-change nephrotic syndrome	D009404
malignant lymphomas	D008223
lymphosarcoma	D008228
giant follicular lymphoma	D008224
waldenstrom s macroglobulinemia	D008258
drug abuse	D019966
mydriasis	D015878
cold sores on the lips and face	D006560
chronic hepatitis b	D019694
bacterial infection	D001424
menstruation	D008599
intra-abdominal infections	D059413
diabetic foot infections	D017719
osteomyelitis	D010019
bacteremia	D016470
pyelonephritis	D011704
pelvic infections	D034161
postpartum	D011644
endomyometritis	D004716
septic abortion	D000031
surgical gynecologic infections	D013530
malignant neoplasm of lip	D008048
skin manifestations	D012877
ctcl	D016410
malignant lymphoma	D008223
renal dysfunction	D005198
duodenal ulcers	D004381
glaucoma	D005901
epilepsy	D004827
mania	D001714
bipolar depression	D001714
auras	D004827
allergic reactions	D006967
allergic tendencies	D003233
bronchial asthmatics	D001994
locally advanced or metastatic non-small cell lung cancer	D002289
cough	D003371
polymicrobial infections	D060085
cluster headache	D003027
depressive disorder	D009497
type headache	D018781
nocturnal enuresis	D053206
bifida	D016135
persistent enuresis	D004775
irritable bowel syndrome	D043183
sleep disorders	D012893
agitation	D011595
liver cancer	D008113
tetany	D013746
parathyroid deficiency	D007011
alkalosis	D000471
acute	D000208
painful shoulder	D020069
bursitis	D002062
tendinitis	D052256
pulmonary tuberculosis	D014397
seasonal allergic rhinitis	D006255
bronchospasm	D001986
sialorrhea	D012798
opioid dependence	D009293
psychiatric disorders	D001523
bipolar disorder type 1	D015663
psychomotor agitation	D011595
brain disorder	D001927
hallucinations	D006212
mental health condition	D001523
arrhythmogenic right ventricular cardiomyopathy	D019571
bacterial skin infections	D013207
pyodermas	D011711
infected dermatoses	D012871
infections of cuts, wounds, burns and ulcers	D007239
duodenal ulcer	D004381
benign gastric ulcer	D013276
ee	C535737
acid-mediated gerd	D005764
nasal pruritus	D011537
redness of the eyes	D001248
rhinitis	D012220
hay fever	D006255
allergic skin disorders	D012871
chronic stable angina	D060050
variant angina	D000788
prinzmetal's angina	D000788
av nodal reentrant tachycardias	D013611
tachycardias	D013610
wpw syndrome	D014927
short pr syndrome	D008151
anal fissures	D005401
cramps in lower leg	D020922
idiopathic dilated cardiomyopathy	C580047
proteinuria	D011507
beningn prostatic hyperplasia	D011470
absence (petit mal) seizures	D004832
hereditary tyrosinemia type 1	D020176
seizures	D012640
androgenic alopecia	D000505
anorexia	D000856
cachexia	D002100
acquired immunodeficiency syndrome	D000163
aids	D000163
endometrial cancer	D016889
acute nonlymphocytic leukemias	D015470
nausea	D009325
vomiting	D014839
dizziness	D004244
vertigo	D014717
septicemia	D018805
structure infections	D007239
gynecologic infections	D007239
musculoskeletal conditions	D009140
cushing's syndrome	D003480
malignant neoplasm of the female breast	D001943
tetrahydrobiopterin (bh4) deficiency	D010661
advanced non-small cell lung cancer	D002289
nsclc	D002289
hodgkin lymphoma	D006689
desmoid tumor	D018222
fibromatosis	D005350
ovarian cancer	D010051
candidemia	D058387
intra-abdominal abscess	D018784
aspergillus infections	D007239
oropharyngeal canaidiasis	D009959
gastro-esophageal reflux disease	D005764
gastritis	D005756
peptic ulcer disease	D010437
stress ulcer	D004381
dyspepsia	D004415
menorrhagia	D008595
endometrial hyperplasia	D004714
septic shock	D012772
cmv retinitis	D017726
dysthymia	D019263
tension headaches	D018781
hot flushes	D019584
post-traumatic stress disorder	D013313
ptsd	D013313
substance abuse disorders	D019966
sexual disorders	D020018
fredrickson's type ii hyperlipoproteinemia	D006938
hypertriglyceridemia	D015228
extrapyramidal reactions	D007955
progesterone deficiency	D001361
premature ventricular beats	D018879
ventricular fibrillation	D014693
dementia	D003704
smooth muscle spasms	D013035
gastrointestinal disorders	D005767
cirrhosis of the liver	D005355
hyperaldosteronism	D006929
hypokalemia	D007008
cancer of the bladder	D001749
extrapyramidal	D001480
hypotension	D007022
hemorrhoids	D006484
priapism	D011317
chronic atrial fibrillation	D001281
subarachnoid hemorrhage	D013345
sah	D013345
ruptured intracranial berry aneurysms	D017542
perennial allergic and nonallergic (vasomotor) rhinitis	D012221
nasal polyps	D009298
pruritic manifestations	D005132
psoriasis	D011565
contact dermatitis	D003877
dermatitis	D003872
infantile eczema	D003876
allergic dermatitis	D003876
neurodermatitis	D009450
lichen simplex chronicus	D009450
lichen planus	D008010
eczema	D004485
eczematous dermatitis	D004485
intertrigo	D007402
dyshidroses	D011146
pompholyx	D011146
seborrheic dermatitis	D012628
exfoliative dermatitis	D003873
amenorrhea	D000568
abnormal uterine bleeding	D014592
hormonal	D004700
submucous fibroids	D007889
urinary incontinence	D014549
hepatocellular carcinoma	D006528
advanced renal cell carcinoma	D002292
ringworm infections of the skin, hair, and nails	D014005
paralytic ileus	D007418
anxiety disorder	D001008
premenstrual syndrome	D011293
allergies	D006967
bacterial and fungal infections	D009181
chagas' disease	D014355
psychotic disorders	D011618
impetigo	D007169
parkinson s disease	D010300
rls	D012148
diabetes mellitus type 2	D003924
meningitis	D008581
infections of the upper respiratory tract	D012141
scarlet fever	D012541
erysipelas	D004886
infections of the respiratory tract	D012141
infections of the oropharynx	D007239
fusospirochetosis	D005892
vincent s gingivitis	D005892
bacterial endocarditis	D004697
rheumatic or other acquired valvular heart disease	D006349
intractable insomnia	D007319
allergy	D006967
hypersensitivity	D006967
niemann-pick disease type c	D052556
restlessness	D011595
aldosterone producing adrenal adenomas	D018246
hirsutism	C536013
acute, painful musculoskeletal conditions	D012734
diverticulitis	D004238
colic	D003085
cystitis	D003556
pancreatitis	D010195
heart conditions	D006331
genital herpes	D006558
mucocutaneous herpes simplex infections	D006561
seasonal or perennial allergic rhinitis	D006255
allergic skin manifestations	D012877
urticaria	D014581
malignant neoplasms of pancreas	D010190
postpartum hemorrhage	D006473
uterine atony	D014593
primay keratoconjunctivitis	D007637
headache	D006261
pediatric migraines	D003027
perennial and seasonal allergic rhinitis	D012221
vasomotor rhinitis	D012223
allergic	D006967
anaphylactic	D000707
hypoxic respiratory failure	D012131
gout	C563162
joint destruction	D014394
lymphoma	D008223
calcium oxalate calculi	D007669
tract infections	D014552
intra abdominal infections	D059413
central nervous system infections	D002494
enteritis	D003424
pneumocystis jiroveci_ pneumonia	D011020
blepharitis	D001762
advanced ovarian cancer	D010051
metastatic (stage iv) non-small cell lung cancer	D002289
hepatitis b virus infection	D019694
inflammatory conditions	D007249
endocrine disorders	D004700
acute lymphoblastic leukaemia	D054198
cholera	D002771
upper respiratory tract bacterial infections	D012141
skin absceses	D054705
m	C566367
gastric ulcers	D013276
erosive reflux oesophagitis	D004942
reflux disease	D005764
gastric and duodenal ulcers	D013276
gastric conditions	D013272
chronic open-angle glaucoma	D005902
congenital or acquired hypothyroidism	D003409
bacterial blepharitis	D001762
corneal injuries	D006335
corneal ulcers	D003320
ocular infections	D015817
brucellosis	D002006
mycoplasma infection	D009175
chlamydial infection	D002690
asthmatic	D001249
chronic obstructive lung disease	D029424
copd	D029424
panic disorders	D016584
depressive episodes	D009497
acute stress disorder	D040701
posttraumatic stress disorder	D013313
painful diabetic neuropathy	D003929
subfoveal choroidal neovascularization	D020256
macular degeneration	D008268
myopia	D009216
peptic ulcer	D010437
acute pain	D059787
spinal and soft tissue pain	D059226
menstrual disorders	D008599
headaches	D006261
respiratory distress	D012127
urethral or cervical gonorrhea	C538072
leg cramps	D020922
backache	D001416
acetylsalicylic acid-sensitive asthma	D001249
perennial allergic rhinitis	D012221
seasonal allergic rhinitis symptoms	D006255
chronic musculoskeletal pain	D059352
osteoarthritis of the knee	D020370
chronic lower back pain	D017116
stress urinary incontinence	D014550
intermittent porphyria	D017118
tetanus	D013742
manic-depressive illness	D001714
hiccups	D006606
hyperactive	D001289
conduct disorders	D019955
lung disease	D008171
staphylococcal infections	D013203
gram-negative infections	D016905
myelodysplastic syndromes	D009190
cytogenetic abnormality	D002869
cytogenetic abnormalities	D002869
adult osteoarthritis	D010003
oa	D010003
adult rheumatoid arthritis	D001172
juvenile rheumatoid arthritis	D001171
gram-negative-bacterial infections	D016905
non-insulin-dependent diabetes mellitus	D003924
niddm	D003924
hyperglycemia	D006943
hypertensive	D006973
gonorrhoea	D006069
infections	D007239
human immunovirus (hiv) infections	D000258
cerebral embolism	D020766
acid-reflux disorders	D005764
tourette s disorder	D005879
psychoses	D011618
enterocolitis	D004760
coughs	D003371
common cold	D003139
metastatic testicular tumors	D013736
allergic contact dermatitis	D017449
parenchymal neurocysticercosis	D003551
cystic hydatid disease of the liver, lung, and peritoneum	D004443
chf	D006333
mi	D009203
exocrine pancreatic insufficiency	D010188
cutaneous lesions	C537797
ringworm infections	D014005
infections of the nails, scalp, palms, and soles of the feet	D007239
advanced carcinoma of the colon or rectum	D012004
raynaud's syndrome	D011928
acyclovir-resistant mucocutaneous hsv infections	D007239
leukemias	D007938
mycosis fungoides	D009182
neuroblastoma	D009447
adenocarcinoma	D000230
retinoblastoma	D012175
carcinoma of the breast	D001943
partial epilepsy	D004828
migraine attacks	D016584
bacterial otitis media	D010033
community-acquired (ca) pneumonia	D011014
maxillary sinusitis	D015523
muscle weakness	D018908
myasthenic syndrome of eaton-lambert	D015624
myasthenia gravis	D009157
inhaled anthrax	C571912
plague	D010930
complicated urinary tract infections	D014552
estrogen receptor-positive or receptor-unknown tumors	D001943
prostatic intraepithelial neoplasia	D019048
neuralgia	D009437
acute lymphocytic leukemia	D054198
non-hodgkin lymphomas	D008228
wilms' tumor	D009396
rhabdomyosarcoma	D012208
philadelphia chromosome-negative (ph-) acute lymphoblastic leukemia	D054198
neurotic or reactive depressive disorders	D000275
colon, esophageal, gastric, rectum, breast, biliary tract, stomach	D013272
inflammatory acne vulgaris	D000152
overactive thyroid gland	D006980
grave's disease	D006111
hairy cell leukaemia	D007943
mood symptoms	D019964
mood episodes	D019964
psychoneuroses	D009497
allergic conditions	D006967
pediatric acute lymphoblastic leukemia	D054198
chorioadenoma destruens	D002820
hydatiform mole	D009506
epidermoid cancer of the head and neck	D006258
advanced mycosis fungoides	D009182
lung cancer	D008175
advanced non-hodgkin	D008228
trigeminal neuralgia	D014277
manic episodes	D001714
manic-depressive episodes	D001714
restless leg syndrome	D012148
lead poisoning	D007855
mercury or arsenic poisoning	D008630
bone infections	D010019
meniere's disease	D008575
vestibular symptoms	D015837
hip fracture	D006620
vte	D054556
pe	D011655
catheter thrombosis	D056824
testicular cancer	D013736
hodgkin's and non-hodgkin's lymphomas	D006689
histiocytosis	D015614
kaposi's sarcoma	D012514
essential tremor	D020329
hypertrophic subaortic stenosis	D002312
pheochromocytoma	D010673
proliferating infantile hemangioma	D006392
dravet syndrome	D004831
cancer pain	D010146
chickenpox	D002644
bacteriuria	D001437
dysmenorrhoea	D004412
portal-systemic encephalopathy	D006501
portacaval shunts	D006501
chronic hepatic diseases	D006521
gallstones	D002769
invasive pulmonary aspergillosis	D055744
systemic carnitine deficiency	C536778
inborn error of metabolism	D008661
glutaric aciduria ii	D054069
methyl malonic aciduria	C537358
propionic acidemia	D056693
medium chain fatty acylcoa dehydrogenase deficiency	C536038
hyperlipoproteinemias	D006951
end-stage renal disease	D007676
essential or renovascular hypertension	D006978
inflammation	D007249
akylosing spondylitis	D013166
injury-related inflammation	D007249
nsaid-induced ulcers	D014456
inflammatory and pruritic dermatoses	D012871
benign prostatic hypertrophy	D011470
ureteric calculi	D014514
dermatology	D012871
seborrheic dermatitis of the scalp	D012628
eczematous external otitis	D010032
ascariasis	D001196
enterobiasis	D017229
oxyuriasis	D010123
intestinal obstruction	D007415
roundworm	D001196
petit mal epilepsy	D004832
loss of skin color	D013591
onchocerciasis	D009855
river blindness	D015827
endometrial or renal carcinoma	D018269
nocturnal heartburn	D006356
extraintestinal amebiasis	D004749
pulmonary and extrapulmonary tuberculosis	D014397
malarial attacks	D016584
advanced hiv infection	D015658
gum disease	D005882
gonorrhea	D006069
hyponatremia	D007010
cml	D015464
systemic mastocytosis	D034721
hypereosinophilic syndrome	D017681
chronic eosinophilic leukemia	D017681
dermatofibrosarcoma protuberans	C537667
malignant gastrointestinal stromal tumors	D046152
gist	D046152
alopecia areata	D000506
discoid lupus erythematosus	D008179
keloids	D007627
necrobiosis lipoidica diabeticorum	D009335
gouty arthritis	D015210
epicondylitis	D013716
synovitis	D013585
drug hypersensitivity	D004342
perennial or seasonal allergic rhinitis	D012221
serum sickness	D012713
bullous dermatitis herpetiformis	D003874
pemphigus	D010392
stevens-johnson syndrome	D013262
congenital adrenal hyperplasia	D000312
autoimmune hemolytic anemia	D000744
diamond-blackfan anemia	D029503
trichinosis	D014235
tuberculous meningitis	D014390
sclerosis	D012598
cerebral edema	D001929
sympathetic ophthalmia	D009879
temporal arteritis	D013700
ocular inflammation	D007249
berylliosis	D001607
idiopathic eosinophilic pneumonias	C535954
sarcoidosis	D012507
dermatomyositis	D003882
polymyositis	D017285
systemic lupus erythematosus	D008180
rheumatic carditis	D012214
idiopathic nephrotic syndrome	D009402
empyema	D004653
vitamin deficiencies	D001361
nonfatal myocardial infarctions	D009203
acute lymphocytic (lymphoblastic) leukemia	D054198
oral-facial herpes simplex episodes	D006561
cold sores	D006560
fever blisters	D006560
bacterial vaginitis	D016585
keratitis	D007634
hyperinsulinemia	D006946
vulvovaginal candidiasis	D002181
supraventricular tachycardias	D013617
fredrickson type iia	D006938
fredrickson type iib	C564161
fredrickson type iii hyperlipidemia	D006952
cerebrovascular disease	D002561
pituitary tumor	D010911
canker sores	D013281
fever blister	D006560
oral candidiasis	D002180
dermatoses	D012871
bacterial or candidal infections	D001424
pruritus ani/vulvae	D011537
invasive candidiasis	D058365
adrenocortical tumours	D018268
osteosarcoma	D012516
megaloblastic anemias	D000749
acid deficiency	D010383
bronchial asthma	D001249
convulsions	D012640
toxemias	D018805
pre-eclampsia	D011225
eclampsia	D004461
nephritis	D009393
magnesium deficiency	D008275
uterine tetany	D013746
angle-closure glaucoma	D015812
alcohol dependence	D000437
alzheimer s disease	D000544
eating disorders	D001068
malignant hypertension	D006974
peripheral musculoskeletal conditions	D012607
upper motor neuron syndromes	D016472
prinzmetal's) angina	D000788
supraventricular tachyarrhythmias	D013610
cluster headaches	D003027
gastroenteritis	D005759
skin conditions	D012871
anaphylaxis to stinging insects	D000707
anaphylaxis	D000707
cardiac arrest	D006323
cardiac failure	D006333
hemorrhagic, traumatic, or cardiogenic shock	D012770
mucosal congestion	D052016
bronchial asthmatic paroxysms	D001994
syncope	D013575
block	D005184
carotid sinus hypersensitivity	D013575
angioneurotic edema	D000799
anesthetic accidents	D020521
open angle) glaucoma	D005902
tightness of chest and shortness of breath	D001049
migraines	D008881
gastric ulcer	D013276
dementia of the alzheimer s type	D000544
ductal carcinoma in situ	D002285
skin condition	D012871
eye conditions	D005128
left ventricular hypertrophy	D017379
irregular heartbeats	D005117
venous thromboembolism	D054556
thromboembolism	D013923
