drugbank_id	name	cas_num	type	disease	MeSHID
DB00017	Salmon calcitonin	47931-85-1	biotech	azotemia	"MESH:D053099	BERN:255009501"
DB00017	Salmon calcitonin	47931-85-1	biotech	post-menopausal osteoporosis	"MESH:D015663	BERN:107377001"
DB00018	Interferon alfa-n3		biotech	external condylomata acuminata	BERN:255178701
DB00019	Pegfilgrastim	208265-92-3	biotech	febrile neutropenia	"MESH:D064147	BERN:106998901"
DB00019	Pegfilgrastim	208265-92-3	biotech	non  myeloid malignancies	BERN:267263801
DB00019	Pegfilgrastim	208265-92-3	biotech	febrile neutropenia	"MESH:D064147	BERN:106998901"
DB00019	Pegfilgrastim	208265-92-3	biotech	acute radiation syndrome	"MESH:D054508	BERN:262342501"
DB00020	Sargramostim	123774-72-1	biotech	cancer	"MESH:D002277	BERN:255268301"
DB00022	Peginterferon alfa-2b	215647-85-1	biotech	hcv	CUI-less
DB00023	Asparaginase Escherichia coli	9015-68-3	biotech	acute lymphoblastic leukemia	"OMIM:613065	MESH:D054198	BERN:107405101"
DB00023	Asparaginase Escherichia coli	9015-68-3	biotech	all	"OMIM:613065	MESH:D054198	BERN:107405101"
DB00024	Thyrotropin alfa	194100-83-9	biotech	thyroid cancer	"MESH:D013964	BERN:107489401"
DB00025	Antihemophilic factor, human recombinant	139076-62-3	biotech	hemophilia a	"OMIM:306700	MESH:D006467	BERN:106913601"
DB00025	Antihemophilic factor, human recombinant	139076-62-3	biotech	von willebrand disease	"MESH:D014842	BERN:106902301"
DB00025	Antihemophilic factor, human recombinant	139076-62-3	biotech	factor xiii deficiency	"MESH:D005177	BERN:107454601"
DB00026	Anakinra	143090-92-0	biotech	rheumatoid arthritis	"MESH:D001172	OMIM:180300	BERN:107539501"
DB00026	Anakinra	143090-92-0	biotech	multisystem inflammatory disease	"OMIM:191900	BERN:120606901"
DB00026	Anakinra	143090-92-0	biotech	nomid	"OMIM:191900	BERN:120606901"
DB00027	Gramicidin D	1405-97-6	small molecule	skin lesions	BERN:256264801
DB00027	Gramicidin D	1405-97-6	small molecule	surface wounds	BERN:256332701
DB00027	Gramicidin D	1405-97-6	small molecule	eye infections	"MESH:D015817	BERN:258423701"
DB00028	Human immunoglobulin G	308067-58-5	biotech	immunodeficiencies	BERN:267394401
DB00028	Human immunoglobulin G	308067-58-5	biotech	autoimmune and inflammatory disorders	"MESH:D001327	OMIM:109100	BERN:259931301"
DB00028	Human immunoglobulin G	308067-58-5	biotech	idiopathic thrombocytopenic purpura	"MESH:D016553	OMIM:188030	BERN:121763101"
DB00028	Human immunoglobulin G	308067-58-5	biotech	kawasaki disease	"MESH:D009080	BERN:107373601"
DB00028	Human immunoglobulin G	308067-58-5	biotech	hypogammaglobulinemia	"MESH:D000361	OMIM:613500	BERN:256490901"
DB00028	Human immunoglobulin G	308067-58-5	biotech	b cell chronic lymphocytic leukemia	"MESH:D015451	OMIM:109543	BERN:107418501"
DB00028	Human immunoglobulin G	308067-58-5	biotech	guillain-barre syndrome	"MESH:D020275	OMIM:139393	BERN:107496601"
DB00028	Human immunoglobulin G	308067-58-5	biotech	demyelinating polyneuropathy	BERN:260502801
DB00028	Human immunoglobulin G	308067-58-5	biotech	cidp	"MESH:D020277	BERN:107416001"
DB00028	Human immunoglobulin G	308067-58-5	biotech	multiple sclerosis	"MESH:D009103	OMIM:126200	BERN:106970401"
DB00028	Human immunoglobulin G	308067-58-5	biotech	rheumatoid arthritis	"MESH:D001172	OMIM:180300	BERN:107539501"
DB00028	Human immunoglobulin G	308067-58-5	biotech	myesthenia gravis	"OMIM:191390	MESH:D003093	BERN:107390201"
DB00028	Human immunoglobulin G	308067-58-5	biotech	wiskott-aldrich syndrome	"OMIM:301000	MESH:D014923	BERN:106950301"
DB00028	Human immunoglobulin G	308067-58-5	biotech	inflammatory skin diseases	"MESH:D012871	BERN:254048701"
DB00029	Anistreplase	81669-57-0	biotech	acute pulmonary emboli	BERN:260879901
DB00029	Anistreplase	81669-57-0	biotech	myocardial infarction	"MESH:D009203	OMIM:608446	BERN:106971801"
DB00030	Insulin human	11061-68-0	biotech	diabetes mellitus	BERN:258006601
DB00031	Tenecteplase	191588-94-0	biotech	myocardial infarction	"MESH:D009203	OMIM:608446	BERN:106971801"
DB00032	Menotropins	9002-68-0	biotech	female infertility	"MESH:D007247	BERN:107538101"
DB00033	Interferon gamma-1b	98059-61-1	biotech	chronic granulomatous disease	"MESH:D006105	BERN:107422401"
DB00033	Interferon gamma-1b	98059-61-1	biotech	osteopetrosis	"MESH:D010022	OMIM:166600	BERN:106951001"
DB00034	Interferon alfa-2a, Recombinant	76543-88-9	biotech	chronic hepatitis c	"MESH:D006526	OMIM:609532	BERN:106970801"
DB00034	Interferon alfa-2a, Recombinant	76543-88-9	biotech	hairy cell leukemia	"MESH:D007943	BERN:107429101"
DB00034	Interferon alfa-2a, Recombinant	76543-88-9	biotech	aids-related kaposi's sarcoma	BERN:257226101
DB00034	Interferon alfa-2a, Recombinant	76543-88-9	biotech	chronic myelogenous leukemia	"OMIM:608232	MESH:D015464	BERN:107422801"
DB00034	Interferon alfa-2a, Recombinant	76543-88-9	biotech	oral warts	BERN:259491701
DB00034	Interferon alfa-2a, Recombinant	76543-88-9	biotech	hiv infection	"OMIM:609423	MESH:D015658	BERN:106985801"
DB00035	Desmopressin	16679-58-6	small molecule	nocturia	"MESH:D053158	BERN:254760401"
DB00035	Desmopressin	16679-58-6	small molecule	nocturnal polyuria	"MESH:D011141	BERN:267148601"
DB00035	Desmopressin	16679-58-6	small molecule	central cranial diabetes insipidus	"MESH:D020790	OMIM:125700	BERN:107286501"
DB00035	Desmopressin	16679-58-6	small molecule	polyuria	"MESH:D011141	BERN:267148601"
DB00035	Desmopressin	16679-58-6	small molecule	polydipsia	"MESH:D059606	BERN:262846401"
DB00035	Desmopressin	16679-58-6	small molecule	head trauma	"MESH:D006259	BERN:265846601"
DB00035	Desmopressin	16679-58-6	small molecule	hemophilia a	"OMIM:306700	MESH:D006467	BERN:106913601"
DB00035	Desmopressin	16679-58-6	small molecule	von willebrand	"MESH:D014842	BERN:106902301"
DB00035	Desmopressin	16679-58-6	small molecule	s disease	"MESH:C563052	BERN:261037201"
DB00036	Coagulation factor VIIa Recombinant Human	102786-61-8	biotech	hemorrhagic complications	BERN:257621801
DB00036	Coagulation factor VIIa Recombinant Human	102786-61-8	biotech	hemophilia a and b	"MESH:D002836	OMIM:306900	BERN:107485101"
DB00038	Oprelvekin	145941-26-0	biotech	thrombocytopenia	"MESH:D013921	BERN:255012301"
DB00038	Oprelvekin	145941-26-0	biotech	nonmyeloid malignancies	"MESH:D016609	BERN:255610701"
DB00038	Oprelvekin	145941-26-0	biotech	thrombocytopenia	"MESH:D013921	BERN:255012301"
DB00039	Palifermin	162394-19-6	biotech	oral mucositis	"MESH:D013280	BERN:106998201"
DB00040	Glucagon	16941-32-5	biotech	hypoglycemia	BERN:254912601
DB00041	Aldesleukin	110942-02-4	biotech	metastatic renal cell carcinoma	"OMIM:144700	MESH:D002292	BERN:107395701"
DB00042	Botulinum Toxin Type B	93384-44-2	biotech	cervical dystonia	"MESH:D014103	BERN:261063701"
DB00042	Botulinum Toxin Type B	93384-44-2	biotech	abnormal head position	BERN:259701701
DB00042	Botulinum Toxin Type B	93384-44-2	biotech	neck pain	"MESH:D019547	BERN:265897501"
DB00042	Botulinum Toxin Type B	93384-44-2	biotech	cervical dystonia	"MESH:D014103	BERN:261063701"
DB00043	Omalizumab	242138-07-4	biotech	asthma	"OMIM:600807	MESH:D001249	BERN:106971701"
DB00043	Omalizumab	242138-07-4	biotech	chronic idiopathic urticaria	BERN:259177401
DB00044	Lutropin alfa	152923-57-4	biotech	infertility	"MESH:D007246	BERN:106969101"
DB00044	Lutropin alfa	152923-57-4	biotech	hypothalamic or pituitary insufficiency	"MESH:D007018	BERN:106924001"
DB00044	Lutropin alfa	152923-57-4	biotech	hypogonadotropic hypogonadism	"MESH:D007713	BERN:106935101"
DB00044	Lutropin alfa	152923-57-4	biotech	lh deficiency	"MESH:C567320	OMIM:612394	BERN:264085201"
DB00045	Lyme disease vaccine (recombinant OspA)		biotech	lyme disease	"MESH:D008193	BERN:106902401"
DB00046	Insulin lispro	133107-64-9	biotech	diabetes mellitus	BERN:258006601
DB00047	Insulin glargine	160337-95-1	biotech	type 1 diabetes mellitus	"OMIM:222100	MESH:D003922	BERN:107495601"
DB00047	Insulin glargine	160337-95-1	biotech	type 2 diabetes mellitus	"MESH:D003924	OMIM:125853	BERN:106906101"
DB00048	Collagenase clostridium histolyticum	9001-12-1	biotech	burns	"MESH:D002056	BERN:263646901"
DB00048	Collagenase clostridium histolyticum	9001-12-1	biotech	dermal ulcers	"MESH:D014456	BERN:255105301"
DB00048	Collagenase clostridium histolyticum	9001-12-1	biotech	decubitus ulcers	"MESH:D003668	BERN:106999301"
DB00049	Rasburicase	134774-45-1	biotech	hyperuricemia	"MESH:D033461	BERN:255099101"
DB00051	Adalimumab	331731-18-1	biotech	rheumatoid arthritis	"MESH:D001172	OMIM:180300	BERN:107539501"
DB00051	Adalimumab	331731-18-1	biotech	juvenile idiopathic arthritis	"MESH:D001171	BERN:107532101"
DB00051	Adalimumab	331731-18-1	biotech	psoriatic arthritis	"OMIM:607507	MESH:D015535	BERN:107460201"
DB00051	Adalimumab	331731-18-1	biotech	ankylosing spondylitis	"OMIM:106300	MESH:D013167	BERN:107423401"
DB00051	Adalimumab	331731-18-1	biotech	crohn s disease	"MESH:D003424	BERN:106986001"
DB00051	Adalimumab	331731-18-1	biotech	ulcerative colitis	"MESH:C536315	BERN:265713201"
DB00051	Adalimumab	331731-18-1	biotech	plaque psoriasis	BERN:256558801
DB00051	Adalimumab	331731-18-1	biotech	panuveitis  hidradenitis	"MESH:D015864	BERN:106930101"
DB00052	Somatotropin	12629-01-5	biotech	acromegaly	"MESH:D000172	BERN:254832401"
DB00053	Imiglucerase	154248-97-2	biotech	gaucher's disease	"MESH:D005776	OMIM:230800	BERN:106906301"
DB00053	Imiglucerase	154248-97-2	biotech	deficiency in glucocerebrosidase	"MESH:D005776	OMIM:230800	BERN:106906301"
DB00054	Abciximab	143653-53-6	biotech	cardiac ischemic complications	BERN:255492601
DB00054	Abciximab	143653-53-6	biotech	unstable angina	"MESH:D000789	BERN:254484101"
DB00055	Drotrecogin alfa	98530-76-8	biotech	sepsis	"MESH:D018805	BERN:256894201"
DB00056	Gemtuzumab ozogamicin	220578-59-6	biotech	acute myeloid leukemia	"MESH:D015470	OMIM:601626	BERN:107418901"
DB00056	Gemtuzumab ozogamicin	220578-59-6	biotech	cd33-positive aml	"MESH:D015470	OMIM:601626	BERN:107418901"
DB00057	Indium In-111 satumomab pendetide	138955-27-8	biotech	extrahepatic malignant cancers	"MESH:D001650	BERN:107361001"
DB00058	Alpha-1-proteinase inhibitor	9041-92-3	biotech	alpha1-proteinase inhibitor (a1-pi) deficiency	BERN:261004101
DB00058	Alpha-1-proteinase inhibitor	9041-92-3	biotech	emphysema	"MESH:D004646	BERN:256367301"
DB00059	Pegaspargase	130167-69-0	biotech	acute lymphoblastic leukemia	"OMIM:613065	MESH:D054198	BERN:107405101"
DB00060	Interferon beta-1a	145258-61-3	biotech	multiple sclerosis	"MESH:D009103	OMIM:126200	BERN:106970401"
DB00060	Interferon beta-1a	145258-61-3	biotech	condyloma acuminatum	BERN:255178701
DB00061	Pegademase	130167-68-9	biotech	adenosine deaminase deficiency	BERN:259119301
DB00062	Albumin human	9048-46-8	biotech	hypovolemia	"MESH:D020896	BERN:254165601"
DB00062	Albumin human	9048-46-8	biotech	ascites	"MESH:D001201	BERN:265351501"
DB00062	Albumin human	9048-46-8	biotech	hypoalbuminemia	"MESH:D034141	BERN:106994701"
DB00062	Albumin human	9048-46-8	biotech	burns	"MESH:D002056	BERN:263646901"
DB00062	Albumin human	9048-46-8	biotech	acute nephrosis	"MESH:D009401	BERN:107475701"
DB00062	Albumin human	9048-46-8	biotech	respiratory distress syndrome	"MESH:D012127	BERN:107424801"
DB00063	Eptifibatide	188627-80-7	biotech	myocardial infarction	"MESH:D009203	OMIM:608446	BERN:106971801"
DB00063	Eptifibatide	188627-80-7	biotech	acute coronary syndrome	BERN:257414601
DB00065	Infliximab	170277-31-3	biotech	crohn s disease	"MESH:D003424	BERN:106986001"
DB00065	Infliximab	170277-31-3	biotech	enterocutaneous and rectovaginal fistulas	"MESH:D012006	BERN:265652601"
DB00065	Infliximab	170277-31-3	biotech	fistulizing	CUI-less
DB00065	Infliximab	170277-31-3	biotech	crohn s disease	"MESH:D003424	BERN:106986001"
DB00065	Infliximab	170277-31-3	biotech	ulcerative colitis	"MESH:C536315	BERN:265713201"
DB00065	Infliximab	170277-31-3	biotech	rheumatoid arthritis	"MESH:D001172	OMIM:180300	BERN:107539501"
DB00065	Infliximab	170277-31-3	biotech	ankylosing spondylitis	"OMIM:106300	MESH:D013167	BERN:107423401"
DB00065	Infliximab	170277-31-3	biotech	arthritis	"MESH:D001168	BERN:260274501"
DB00065	Infliximab	170277-31-3	biotech	psoriatic arthritis	"OMIM:607507	MESH:D015535	BERN:107460201"
DB00065	Infliximab	170277-31-3	biotech	plaque psoriasis	BERN:256558801
DB00066	Follitropin	146479-72-3	biotech	ovarian failure	BERN:259749201
DB00066	Follitropin	146479-72-3	biotech	hypogonadotrophic hypogonadism	"MESH:D007006	BERN:106984801"
DB00066	Follitropin	146479-72-3	biotech	ivf	BERN:267303001
DB00067	Vasopressin	11000-17-2	small molecule	enuresis	"MESH:D004775	BERN:263726201"
DB00067	Vasopressin	11000-17-2	small molecule	polyuria	"MESH:D011141	BERN:267148601"
DB00067	Vasopressin	11000-17-2	small molecule	diabetes insipidus	"MESH:D003919	BERN:106911001"
DB00067	Vasopressin	11000-17-2	small molecule	polydipsia	"MESH:D059606	BERN:262846401"
DB00067	Vasopressin	11000-17-2	small molecule	oesophageal varices	"MESH:D004932	BERN:107537001"
DB00068	Interferon beta-1b	145155-23-3	biotech	multiple sclerosis	"MESH:D009103	OMIM:126200	BERN:106970401"
DB00069	Interferon alfacon-1	118390-30-0	biotech	hairy cell leukemia	"MESH:D007943	BERN:107429101"
DB00069	Interferon alfacon-1	118390-30-0	biotech	malignant melanoma	"MESH:D008545	BERN:106971601"
DB00069	Interferon alfacon-1	118390-30-0	biotech	aids-related kaposi's sarcoma	BERN:257226101
DB00071	Insulin pork	12584-58-6	biotech	type i and ii diabetes mellitus	"MESH:D003924	OMIM:125853	BERN:106906101"
DB00072	Trastuzumab	180288-69-1	biotech	her2-overexpressing breast cancer	BERN:255472201
DB00072	Trastuzumab	180288-69-1	biotech	metastatic her2-overexpressing breast cancer	BERN:259355301
DB00072	Trastuzumab	180288-69-1	biotech	her2-overexpressing metastatic gastric or gastroesophageal junction adenocarcinoma	BERN:257827901
DB00072	Trastuzumab	180288-69-1	biotech	metastatic disease	"MESH:D009362	BERN:4300301"
DB00072	Trastuzumab	180288-69-1	biotech	her-2 positive breast cancers	"OMIM:114480	MESH:D001943	BERN:107480901"
DB00073	Rituximab	174722-31-7	biotech	non-hodgkin s lymphoma	"MESH:D008228	OMIM:605027	BERN:107530201"
DB00073	Rituximab	174722-31-7	biotech	nhl	"MESH:D008228	OMIM:605027	BERN:107530201"
DB00073	Rituximab	174722-31-7	biotech	chronic lymphocytic leukemia	"MESH:D015451	OMIM:109543	BERN:107418501"
DB00073	Rituximab	174722-31-7	biotech	cll	"MESH:D015451	OMIM:109543	BERN:107418501"
DB00073	Rituximab	174722-31-7	biotech	rheumatoid arthritis	"MESH:D001172	OMIM:180300	BERN:107539501"
DB00073	Rituximab	174722-31-7	biotech	ra	"MESH:D001172	OMIM:180300	BERN:107539501"
DB00073	Rituximab	174722-31-7	biotech	ra	"MESH:D001172	OMIM:180300	BERN:107539501"
DB00073	Rituximab	174722-31-7	biotech	granulomatosis with	BERN:257991801
DB00073	Rituximab	174722-31-7	biotech	polyangiitis	"MESH:D055953	BERN:106938301"
DB00073	Rituximab	174722-31-7	biotech	gpa	CUI-less
DB00073	Rituximab	174722-31-7	biotech	wegener s granulomatosis	"OMIM:608710	MESH:D014890	BERN:106909001"
DB00073	Rituximab	174722-31-7	biotech	polyangiitis	"MESH:D055953	BERN:106938301"
DB00073	Rituximab	174722-31-7	biotech	pemphigus vulgaris	"MESH:D010392	BERN:106912301"
DB00073	Rituximab	174722-31-7	biotech	pv	"OMIM:263300	MESH:D011087	BERN:106906601"
DB00073	Rituximab	174722-31-7	biotech	b-cell non-hodgkin s lymphoma	BERN:260660701
DB00073	Rituximab	174722-31-7	biotech	nhl	"MESH:D008228	OMIM:605027	BERN:107530201"
DB00073	Rituximab	174722-31-7	biotech	granulomatosis	BERN:257991801
DB00073	Rituximab	174722-31-7	biotech	polyangiitis	"MESH:D055953	BERN:106938301"
DB00073	Rituximab	174722-31-7	biotech	polyangiitis	"MESH:D055953	BERN:106938301"
DB00073	Rituximab	174722-31-7	biotech	mpa	CUI-less
DB00074	Basiliximab	179045-86-4	biotech	kidney transplant rejection	BERN:260621001
DB00076	Digoxin Immune Fab (Ovine)		biotech	digitoxin overdose	BERN:255543401
DB00076	Digoxin Immune Fab (Ovine)		biotech	digitalis glycoside toxicity	"MESH:D064420	BERN:264142101"
DB00078	Ibritumomab tiuxetan	206181-63-7	biotech	non-hodgkin's lymphoma	"MESH:D008228	OMIM:605027	BERN:107530201"
DB00080	Daptomycin	103060-53-3	small molecule	skin and skin structure infections	"MESH:D013207	BERN:107507801"
DB00081	Tositumomab	208921-02-2	biotech	non-hodgkin's lymphoma	"MESH:D008228	OMIM:605027	BERN:107530201"
DB00082	Pegvisomant	218620-50-9	biotech	acromegaly	"MESH:D000172	BERN:254832401"
DB00083	Botulinum toxin type A	93384-43-1	biotech	cervical dystonia	"MESH:D014103	BERN:261063701"
DB00083	Botulinum toxin type A	93384-43-1	biotech	abnormal head position	BERN:259701701
DB00083	Botulinum toxin type A	93384-43-1	biotech	neck pain	"MESH:D019547	BERN:265897501"
DB00083	Botulinum toxin type A	93384-43-1	biotech	cervical dystonia	"MESH:D014103	BERN:261063701"
DB00083	Botulinum toxin type A	93384-43-1	biotech	axillary hyperhidrosis	"MESH:D006945	BERN:262261601"
DB00083	Botulinum toxin type A	93384-43-1	biotech	strabismus	"OMIM:185100	MESH:D013285	BERN:106996201"
DB00083	Botulinum toxin type A	93384-43-1	biotech	blepharospasm	"MESH:D001764	BERN:258778501"
DB00083	Botulinum toxin type A	93384-43-1	biotech	dystonia	"MESH:D020821	BERN:107354501"
DB00083	Botulinum toxin type A	93384-43-1	biotech	essential blepharospasm	"MESH:C535428	OMIM:606798	BERN:263923501"
DB00083	Botulinum toxin type A	93384-43-1	biotech	vii nerve disorders	"MESH:D005155	BERN:256004201"
DB00083	Botulinum toxin type A	93384-43-1	biotech	frown lines	BERN:257714601
DB00085	Pancrelipase	53608-75-6	biotech	pancreatic insufficiency	"MESH:D010188	BERN:107488501"
DB00085	Pancrelipase	53608-75-6	biotech	cystic fibrosis	"OMIM:219700	MESH:D003550	BERN:106986301"
DB00085	Pancrelipase	53608-75-6	biotech	chronic pancreatitis	"MESH:D050500	BERN:107533501"
DB00085	Pancrelipase	53608-75-6	biotech	pancreatic disease	"MESH:D010182	BERN:258904601"
DB00085	Pancrelipase	53608-75-6	biotech	pancreatic diseases	"MESH:D010182	BERN:258904601"
DB00085	Pancrelipase	53608-75-6	biotech	deterioration of pancreatic parenchyma	BERN:259669201
DB00085	Pancrelipase	53608-75-6	biotech	pancreatic insufficiency	"MESH:D010188	BERN:107488501"
DB00085	Pancrelipase	53608-75-6	biotech	malnutrition	"MESH:D044342	BERN:106988901"
DB00085	Pancrelipase	53608-75-6	biotech	weight loss	"MESH:D015431	BERN:264004301"
DB00085	Pancrelipase	53608-75-6	biotech	steatorrhea	"MESH:D045602	BERN:257687301"
DB00086	Streptokinase	9002-01-1	biotech	transmural myocardial infarction	BERN:254990201
DB00086	Streptokinase	9002-01-1	biotech	pulmonary embolism	"MESH:D011655	BERN:106987401"
DB00086	Streptokinase	9002-01-1	biotech	deep vein thrombosis	"MESH:D020246	BERN:106989101"
DB00086	Streptokinase	9002-01-1	biotech	arterial thrombosis	BERN:258916201
DB00087	Alemtuzumab	216503-57-0	biotech	b-cell chronic lymphocytic leukemia	"MESH:D015451	OMIM:109543	BERN:107418501"
DB00088	Alglucerase	143003-46-7	biotech	gaucher's disease	"MESH:D005776	OMIM:230800	BERN:106906301"
DB00088	Alglucerase	143003-46-7	biotech	deficiency in glucocerebrosidase	"MESH:D005776	OMIM:230800	BERN:106906301"
DB00089	Capromab pendetide	145464-28-4	biotech	prostate cancer	"OMIM:176807	MESH:D011471	BERN:107535701"
DB00090	Laronidase	210589-09-6	biotech	mucopolysaccharidosis	"MESH:D009083	BERN:106942901"
DB00091	Cyclosporine	59865-13-3	small molecule	organ rejection	BERN:254491901
DB00091	Cyclosporine	59865-13-3	small molecule	allogeneic kidney, liver, and heart transplants	"MESH:D006335	BERN:266267001"
DB00091	Cyclosporine	59865-13-3	small molecule	bone marrow transplant	BERN:260444001
DB00091	Cyclosporine	59865-13-3	small molecule	chronic transplant rejection	BERN:259437801
DB00091	Cyclosporine	59865-13-3	small molecule	-host disease	"MESH:D004194	BERN:261243901"
DB00091	Cyclosporine	59865-13-3	small molecule	gvhd	"MESH:D006086	BERN:254245401"
DB00091	Cyclosporine	59865-13-3	small molecule	rheumatoid arthritis	"MESH:D001172	OMIM:180300	BERN:107539501"
DB00091	Cyclosporine	59865-13-3	small molecule	ra	"MESH:D001172	OMIM:180300	BERN:107539501"
DB00091	Cyclosporine	59865-13-3	small molecule	plaque psoriasis	BERN:256558801
DB00091	Cyclosporine	59865-13-3	small molecule	keratoconjunctivitis sicca	"MESH:D007638	BERN:107484501"
DB00091	Cyclosporine	59865-13-3	small molecule	nephrotic syndrome	"MESH:D009404	BERN:256883401"
DB00091	Cyclosporine	59865-13-3	small molecule	glomerular diseases	BERN:259071001
DB00091	Cyclosporine	59865-13-3	small molecule	nephropathy	BERN:267273501
DB00091	Cyclosporine	59865-13-3	small molecule	focal and segmental glomerulosclerosis	"OMIM:300321	MESH:C537923	MESH:C538457	BERN:107432801	BERN:256896901"
DB00091	Cyclosporine	59865-13-3	small molecule	membranous glomerulonephritis	"MESH:D015433	BERN:107374601"
DB00091	Cyclosporine	59865-13-3	small molecule	autoimmune and inflammatory conditions	"MESH:C538273	BERN:254665501"
DB00091	Cyclosporine	59865-13-3	small molecule	atopic dermatitis	"MESH:D003876	BERN:107504001"
DB00091	Cyclosporine	59865-13-3	small molecule	blistering disorders	"MESH:D001768	BERN:260093001"
DB00091	Cyclosporine	59865-13-3	small molecule	ulcerative colitis	"MESH:C536315	BERN:265713201"
DB00091	Cyclosporine	59865-13-3	small molecule	rheumatoid arthritis	"MESH:D001172	OMIM:180300	BERN:107539501"
DB00091	Cyclosporine	59865-13-3	small molecule	uveitis	"MESH:D014605	BERN:106979801"
DB00091	Cyclosporine	59865-13-3	small molecule	connective tissue diseases	"MESH:D003240	BERN:254066801"
DB00091	Cyclosporine	59865-13-3	small molecule	idiopathic thrombocytopenic purpura	"MESH:D016553	OMIM:188030	BERN:121763101"
