source	metaedge	target
Compound::DB00186	CpD	Disease::MESH:D016584
Compound::DB00285	CpD	Disease::MESH:D001289
Compound::DB00540	CpD	Disease::MESH:D009103
Compound::DB01233	CpD	Disease::MESH:D008881
Compound::DB00706	CpD	Disease::MESH:C537243
Compound::DB00304	CpD	Disease::MESH:D011085
Compound::DB00230	CpD	Disease::MESH:D009103
Compound::DB01068	CpD	Disease::MESH:D001321
Compound::DB00814	CpD	Disease::MESH:D010003
Compound::DB00502	CpD	Disease::MESH:C536597
Compound::DB00321	CpD	Disease::MESH:D009103
Compound::DB00668	CpD	Disease::MESH:D005901
Compound::DB00502	CpD	Disease::MESH:D005879
Compound::DB08866	CpD	Disease::MESH:D001943
Compound::DB01104	CpD	Disease::MESH:D001321
Compound::DB00245	CpD	Disease::MESH:D001321
Compound::DB00490	CpD	Disease::MESH:D016584
Compound::DB00176	CpD	Disease::MESH:D003866
Compound::DB01075	CpD	Disease::MESH:D012559
Compound::DB00975	CpD	Disease::MESH:D003324
Compound::DB00443	CpD	Disease::MESH:C537243
Compound::DB00852	CpD	Disease::MESH:D065631
Compound::DB01234	CpD	Disease::MESH:D001943
Compound::DB00413	CpD	Disease::MESH:D010300
Compound::DB00245	CpD	Disease::MESH:D012559
Compound::DB00620	CpD	Disease::MESH:D001932
Compound::DB00749	CpD	Disease::MESH:D010003
Compound::DB00230	CpD	Disease::MESH:D012148
Compound::DB01233	CpD	Disease::MESH:D012595
Compound::DB01234	CpD	Disease::MESH:D003110
Compound::DB00906	CpD	Disease::MESH:D001714
Compound::DB00945	CpD	Disease::MESH:D008881
Compound::DB00746	CpD	Disease::MESH:D007676
Compound::DB00745	CpD	Disease::MESH:D001289
Compound::DB00476	CpD	Disease::MESH:D003866
Compound::DB00788	CpD	Disease::MESH:D008180
Compound::DB01420	CpD	Disease::MESH:D001943
Compound::DB00883	CpD	Disease::MESH:D003324
Compound::DB01401	CpD	Disease::MESH:D001172
Compound::DB00915	CpD	Disease::MESH:D009103
Compound::DB00945	CpD	Disease::MESH:D010003
Compound::DB00621	CpD	Disease::MESH:D010024
Compound::DB00696	CpD	Disease::MESH:D008881
Compound::DB00136	CpD	Disease::MESH:D007676
Compound::DB00714	CpD	Disease::MESH:D010300
Compound::DB05271	CpD	Disease::MESH:D010300
Compound::DB00338	CpD	Disease::MESH:D007680
Compound::DB00482	CpD	Disease::MESH:D007680
Compound::DB01068	CpD	Disease::MESH:D009103
Compound::DB00935	CpD	Disease::MESH:D065631
Compound::DB00376	CpD	Disease::MESH:D010300
Compound::DB00734	CpD	Disease::MESH:D005879
Compound::DB00334	CpD	Disease::MESH:D012559
Compound::DB00918	CpD	Disease::MESH:D008881
Compound::DB01235	CpD	Disease::MESH:D010300
Compound::DB00695	CpD	Disease::MESH:D007676
Compound::DB00734	CpD	Disease::MESH:D001321
Compound::DB00564	CpD	Disease::MESH:D012148
Compound::DB01394	CpD	Disease::MESH:D012595
Compound::DB00850	CpD	Disease::MESH:D005879
Compound::DB01235	CpD	Disease::MESH:D012148
Compound::DB00603	CpD	Disease::MESH:D001943
Compound::DB00814	CpD	Disease::MESH:D001172
Compound::DB01151	CpD	Disease::MESH:D001289
Compound::DB01068	CpD	Disease::MESH:D012148
Compound::DB00586	CpD	Disease::MESH:D013167
Compound::DB01577	CpD	Disease::MESH:D009290
Compound::DB00788	CpD	Disease::MESH:D001172
Compound::DB00425	CpD	Disease::MESH:D009103
Compound::DB00390	CpD	Disease::MESH:D003324
Compound::DB06637	CpD	Disease::MESH:D009103
Compound::DB00494	CpD	Disease::MESH:D010300
Compound::DB01234	CpD	Disease::MESH:D001932
Compound::DB00182	CpD	Disease::MESH:D001289
Compound::DB01577	CpD	Disease::MESH:D001289
Compound::DB00502	CpD	Disease::MESH:D019955
Compound::DB01364	CpD	Disease::MESH:D001249
Compound::DB00381	CpD	Disease::MESH:D003324
Compound::DB00996	CpD	Disease::MESH:D001172
Compound::DB01589	CpD	Disease::MESH:D009103
Compound::DB00573	CpD	Disease::MESH:D010003
Compound::DB01238	CpD	Disease::MESH:D001321
Compound::DB00477	CpD	Disease::MESH:D012559
Compound::DB00328	CpD	Disease::MESH:D010003
Compound::DB01247	CpD	Disease::MESH:D016584
Compound::DB00697	CpD	Disease::MESH:D008881
Compound::DB00181	CpD	Disease::MESH:D009103
Compound::DB00852	CpD	Disease::MESH:D001249
Compound::DB00605	CpD	Disease::MESH:D010003
Compound::DB01186	CpD	Disease::MESH:D005879
Compound::DB01068	CpD	Disease::MESH:D016584
Compound::DB00318	CpD	Disease::MESH:D010003
Compound::DB01234	CpD	Disease::MESH:D007680
Compound::DB00555	CpD	Disease::MESH:D012559
Compound::DB00831	CpD	Disease::MESH:D012559
Compound::DB00959	CpD	Disease::MESH:D019337
Compound::DB00564	CpD	Disease::MESH:D001714
Compound::DB00215	CpD	Disease::MESH:D016584
Compound::DB00338	CpD	Disease::MESH:C537243
Compound::DB00715	CpD	Disease::MESH:D003866
Compound::DB00996	CpD	Disease::MESH:D010300
Compound::DB00246	CpD	Disease::MESH:D012559
Compound::DB00788	CpD	Disease::MESH:D013167
Compound::DB01036	CpD	Disease::MESH:D009103
Compound::DB00216	CpD	Disease::MESH:D008881
Compound::DB00953	CpD	Disease::MESH:D008881
Compound::DB00328	CpD	Disease::MESH:D008881
Compound::DB01234	CpD	Disease::MESH:C537243
Compound::DB00655	CpD	Disease::MESH:D001943
Compound::DB01104	CpD	Disease::MESH:D016584
Compound::DB01623	CpD	Disease::MESH:D012559
Compound::DB00285	CpD	Disease::MESH:D016584
Compound::DB00736	CpD	Disease::MESH:D012595
Compound::DB00482	CpD	Disease::MESH:C537243
Compound::DB00323	CpD	Disease::MESH:D010300
Compound::DB00443	CpD	Disease::MESH:D007680
Compound::DB00268	CpD	Disease::MESH:D010300
Compound::DB01198	CpD	Disease::MESH:D009103
Compound::DB01238	CpD	Disease::MESH:D003866
Compound::DB00586	CpD	Disease::MESH:D008881
Compound::DB00434	CpD	Disease::MESH:D012559
Compound::DB00687	CpD	Disease::MESH:D010300
Compound::DB01115	CpD	Disease::MESH:D003324
Compound::DB06151	CpD	Disease::MESH:D029424
Compound::DB00390	CpD	Disease::MESH:C536231
Compound::DB00959	CpD	Disease::MESH:D010003
Compound::DB00434	CpD	Disease::MESH:D008881
Compound::DB00575	CpD	Disease::MESH:D001321
Compound::DB00656	CpD	Disease::MESH:D001714
Compound::DB01050	CpD	Disease::MESH:D010003
Compound::DB00328	CpD	Disease::MESH:D001172
Compound::DB00482	CpD	Disease::MESH:D012595
Compound::DB00996	CpD	Disease::MESH:D012148
Compound::DB00203	CpD	Disease::MESH:D009103
Compound::DB00669	CpD	Disease::MESH:D008881
Compound::DB01104	CpD	Disease::MESH:D003866
Compound::DB00745	CpD	Disease::MESH:D010300
Compound::DB00991	CpD	Disease::MESH:D010003
Compound::DB01238	CpD	Disease::MESH:D012559
Compound::DB00572	CpD	Disease::MESH:D010300
Compound::DB00482	CpD	Disease::MESH:D013167
Compound::DB00104	CpD	Disease::MESH:D010190
Compound::DB00502	CpD	Disease::MESH:D012559
Compound::DB00745	CpD	Disease::MESH:D009103
Compound::DB00933	CpD	Disease::MESH:D012559
Compound::DB00122	CpD	Disease::MESH:D010003
Compound::DB00246	CpD	Disease::MESH:D005879
Compound::DB01591	CpD	Disease::MESH:D009103
Compound::DB00998	CpD	Disease::MESH:D008881
Compound::DB00554	CpD	Disease::MESH:D013167
Compound::DB01224	CpD	Disease::MESH:D012559
Compound::DB00586	CpD	Disease::MESH:D010003
Compound::DB00783	CpD	Disease::MESH:D001943
Compound::DB00313	CpD	Disease::MESH:D001714
Compound::DB00564	CpD	Disease::MESH:D012559
Compound::DB00887	CpD	Disease::MESH:D007676
Compound::DB01576	CpD	Disease::MESH:D001289
Compound::DB01068	CpD	Disease::MESH:D001714
Compound::DB00997	CtD	Disease::MESH:D014594
Compound::DB00206	CtD	Disease::MESH:D006973
Compound::DB00960	CtD	Disease::MESH:D006973
Compound::DB00665	CtD	Disease::MESH:C537243
Compound::DB00290	CtD	Disease::MESH:D013736
Compound::DB01232	CtD	Disease::MESH:D000163
Compound::DB00555	CtD	Disease::MESH:D004827
Compound::DB00444	CtD	Disease::MESH:D019337
Compound::DB00860	CtD	Disease::MESH:D065631
Compound::DB00635	CtD	Disease::MESH:D019337
Compound::DB00985	CtD	Disease::MESH:D065631
Compound::DB00808	CtD	Disease::MESH:D006973
Compound::DB01244	CtD	Disease::MESH:D006973
Compound::DB00888	CtD	Disease::MESH:D019337
Compound::DB00591	CtD	Disease::MESH:D003876
Compound::DB00530	CtD	Disease::MESH:D008175
Compound::DB00191	CtD	Disease::MESH:D009765
Compound::DB00620	CtD	Disease::MESH:D003093
Compound::DB00853	CtD	Disease::MESH:D005910
Compound::DB00654	CtD	Disease::MESH:D005901
Compound::DB00783	CtD	Disease::MESH:C537243
Compound::DB08881	CtD	Disease::MESH:D012878
Compound::DB00563	CtD	Disease::MESH:D008180
Compound::DB00741	CtD	Disease::MESH:D065631
Compound::DB00773	CtD	Disease::MESH:D010524
Compound::DB00993	CtD	Disease::MESH:D012595
Compound::DB01275	CtD	Disease::MESH:D006973
Compound::DB01101	CtD	Disease::MESH:D013274
Compound::DB00401	CtD	Disease::MESH:D006973
Compound::DB00563	CtD	Disease::MESH:D008175
Compound::DB00222	CtD	Disease::MESH:D003924
Compound::DB00290	CtD	Disease::MESH:D008545
Compound::DB01280	CtD	Disease::MESH:D019337
Compound::DB00455	CtD	Disease::MESH:D003876
Compound::DB00860	CtD	Disease::MESH:D029424
Compound::DB00244	CtD	Disease::MESH:D003093
Compound::DB00250	CtD	Disease::MESH:D008288
Compound::DB01023	CtD	Disease::MESH:D006973
Compound::DB01047	CtD	Disease::MESH:D003876
Compound::DB00635	CtD	Disease::MESH:D001249
Compound::DB00541	CtD	Disease::MESH:D019337
Compound::DB00443	CtD	Disease::MESH:D019337
Compound::DB01234	CtD	Disease::MESH:D015535
Compound::DB00688	CtD	Disease::MESH:D012595
Compound::DB00491	CtD	Disease::MESH:D003924
Compound::DB00570	CtD	Disease::MESH:D013736
Compound::DB00441	CtD	Disease::MESH:D010190
Compound::DB00661	CtD	Disease::MESH:D008881
Compound::DB00205	CtD	Disease::MESH:D008288
Compound::DB00959	CtD	Disease::MESH:D013167
Compound::DB00544	CtD	Disease::MESH:D013274
Compound::DB01068	CtD	Disease::MESH:D004827
Compound::DB01101	CtD	Disease::MESH:D007680
Compound::DB00488	CtD	Disease::MESH:D010051
Compound::DB00970	CtD	Disease::MESH:D007680
Compound::DB00177	CtD	Disease::MESH:D003324
Compound::DB00997	CtD	Disease::MESH:D001859
Compound::DB00215	CtD	Disease::MESH:D000437
Compound::DB01394	CtD	Disease::MESH:D015210
Compound::DB01320	CtD	Disease::MESH:D004827
Compound::DB01181	CtD	Disease::MESH:D019337
Compound::DB01057	CtD	Disease::MESH:D005901
Compound::DB00338	CtD	Disease::MESH:D001471
Compound::DB00993	CtD	Disease::MESH:D003093
Compound::DB00501	CtD	Disease::MESH:D009765
Compound::DB00563	CtD	Disease::MESH:D009103
Compound::DB00860	CtD	Disease::MESH:D019337
Compound::DB00795	CtD	Disease::MESH:D003093
Compound::DB01075	CtD	Disease::MESH:D065631
Compound::DB00261	CtD	Disease::MESH:D019337
Compound::DB00091	CtD	Disease::MESH:D008180
Compound::DB00763	CtD	Disease::MESH:D006111
Compound::DB01098	CtD	Disease::MESH:D003324
Compound::DB01197	CtD	Disease::MESH:D012595
Compound::DB00970	CtD	Disease::MESH:D009217
Compound::DB00399	CtD	Disease::MESH:D010024
Compound::DB01029	CtD	Disease::MESH:D006973
Compound::DB00631	CtD	Disease::MESH:D019337
Compound::DB00521	CtD	Disease::MESH:D005901
Compound::DB01170	CtD	Disease::MESH:D006973
Compound::DB00291	CtD	Disease::MESH:D001943
Compound::DB00642	CtD	Disease::MESH:D008175
Compound::DB00641	CtD	Disease::MESH:D003324
Compound::DB00178	CtD	Disease::MESH:D003922
Compound::DB00169	CtD	Disease::MESH:D010024
Compound::DB01204	CtD	Disease::MESH:D001943
Compound::DB01045	CtD	Disease::MESH:D007918
Compound::DB01101	CtD	Disease::MESH:D001943
Compound::DB00544	CtD	Disease::MESH:D003110
Compound::DB00635	CtD	Disease::MESH:C537243
Compound::DB00563	CtD	Disease::MESH:D001943
Compound::DB01204	CtD	Disease::MESH:D009103
Compound::DB01202	CtD	Disease::MESH:D004827
Compound::DB08877	CtD	Disease::MESH:D019337
Compound::DB01120	CtD	Disease::MESH:D003924
Compound::DB00523	CtD	Disease::MESH:D010524
Compound::DB00851	CtD	Disease::MESH:D008545
Compound::DB00270	CtD	Disease::MESH:D006973
Compound::DB00226	CtD	Disease::MESH:D006973
Compound::DB08828	CtD	Disease::MESH:D012878
Compound::DB00982	CtD	Disease::MESH:D010524
Compound::DB00937	CtD	Disease::MESH:D009765
Compound::DB01177	CtD	Disease::MESH:D001943
Compound::DB00492	CtD	Disease::MESH:D006973
Compound::DB00635	CtD	Disease::MESH:D003876
Compound::DB00688	CtD	Disease::MESH:D011565
Compound::DB00651	CtD	Disease::MESH:D001249
Compound::DB00305	CtD	Disease::MESH:D001749
Compound::DB00762	CtD	Disease::MESH:D010190
Compound::DB00515	CtD	Disease::MESH:D009373
Compound::DB01177	CtD	Disease::MESH:D019337
Compound::DB00973	CtD	Disease::MESH:D050197
Compound::DB01410	CtD	Disease::MESH:D001249
Compound::DB00224	CtD	Disease::MESH:D000163
Compound::DB00864	CtD	Disease::MESH:D003876
Compound::DB00860	CtD	Disease::MESH:D001249
Compound::DB00775	CtD	Disease::MESH:D003324
Compound::DB00352	CtD	Disease::MESH:D019337
Compound::DB08881	CtD	Disease::MESH:D008545
Compound::DB00445	CtD	Disease::MESH:D013274
Compound::DB00563	CtD	Disease::MESH:D013274
Compound::DB00762	CtD	Disease::MESH:D008175
Compound::DB00570	CtD	Disease::MESH:D019337
Compound::DB08868	CtD	Disease::MESH:D009103
Compound::DB00997	CtD	Disease::MESH:D008175
Compound::DB00876	CtD	Disease::MESH:D006973
Compound::DB00445	CtD	Disease::MESH:D010190
Compound::DB01583	CtD	Disease::MESH:D007037
Compound::DB00441	CtD	Disease::MESH:D019337
Compound::DB00250	CtD	Disease::MESH:D008180
Compound::DB01204	CtD	Disease::MESH:D012509
Compound::DB08816	CtD	Disease::MESH:D003324
Compound::DB00398	CtD	Disease::MESH:D013964
Compound::DB00741	CtD	Disease::MESH:D001172
Compound::DB00764	CtD	Disease::MESH:D003876
Compound::DB00178	CtD	Disease::MESH:D006973
Compound::DB00441	CtD	Disease::MESH:D001943
Compound::DB01248	CtD	Disease::MESH:D008545
Compound::DB00964	CtD	Disease::MESH:D005901
Compound::DB00553	CtD	Disease::MESH:D011565
Compound::DB01260	CtD	Disease::MESH:D003876
Compound::DB00997	CtD	Disease::MESH:D019337
Compound::DB00541	CtD	Disease::MESH:D012509
Compound::DB00279	CtD	Disease::MESH:D007037
Compound::DB00649	CtD	Disease::MESH:D000163
Compound::DB00630	CtD	Disease::MESH:C538098
Compound::DB00290	CtD	Disease::MESH:D009373
Compound::DB00958	CtD	Disease::MESH:D001943
Compound::DB01273	CtD	Disease::MESH:D014029
Compound::DB01005	CtD	Disease::MESH:D006258
Compound::DB00328	CtD	Disease::MESH:D015210
Compound::DB08871	CtD	Disease::MESH:D001943
Compound::DB00331	CtD	Disease::MESH:D003924
Compound::DB00691	CtD	Disease::MESH:D006973
Compound::DB00286	CtD	Disease::MESH:D010024
Compound::DB00242	CtD	Disease::MESH:D019337
Compound::DB00884	CtD	Disease::MESH:D010024
Compound::DB00169	CtD	Disease::MESH:D003093
Compound::DB00773	CtD	Disease::MESH:D001932
Compound::DB04572	CtD	Disease::MESH:D001943
Compound::DB00620	CtD	Disease::MESH:D013167
Compound::DB00755	CtD	Disease::MESH:D010524
Compound::DB00331	CtD	Disease::MESH:D011085
Compound::DB00997	CtD	Disease::MESH:D007680
Compound::DB01077	CtD	Disease::MESH:C538098
Compound::DB01274	CtD	Disease::MESH:D001249
Compound::DB01008	CtD	Disease::MESH:D019337
Compound::DB00385	CtD	Disease::MESH:D001749
Compound::DB00741	CtD	Disease::MESH:D001249
