drugbank_id	category	uniprot_id	entrez_gene_id	organism	known_action	actions	pubmed_ids
DB00025	target	P00740	2158	Humans	yes	cofactor	1119107|2994716|14240634|932529|6422634
DB00025	target	P04275	7450	Humans	yes	binder	10938981|11858481|14750934|2128855|2942172
DB00025	target	O14832	5264	Humans	unknown	antagonist	17139284|17016423|11574539
DB00025	target	P07307	433	Humans	unknown	binder	17139284|17016423|15946216
DB00025	target	P11021	3309	Humans	unknown	chaperone	17139284|17016423|9607108
DB00025	target	P27797	811	Humans	unknown	chaperone	17139284|17016423|9525969|17899080|9607108
DB00025	target	P27824	821	Humans	unknown	chaperone	17139284|17016423|9525969|15213841|17899080|9607108
DB00025	target	P49257	3998	Humans	unknown	chaperone	17139284|17016423|14629470|14726380
DB00025	target	Q07954	4035	Humans	unknown	modulator	17139284|17016423|21391865
DB00025	target	Q8NI22	90411	Humans	unknown	modulator	17139284|17016423|15886209
DB00025	enzyme	P04070	5624	Humans	unknown	inactivator	17139284|17016423|21054189
DB00026	target	P14778	3554	Humans	yes	antagonist	17498496|12817089|12355453|17083033|11752352|17352828|10210771
DB00027	transporter	P08183	5243	Humans	unknown	substrate|inhibitor	14985103|8621716|11707575
DB00028	target	O75015	2215	Humans	yes	antagonist	17911465|20441428|17351760
DB00028	target	P08637	2214	Humans	yes	antagonist	17911465|20441428|17351760
DB00028	target	P12314	2209	Humans	yes	antagonist	17911465|20441428|17351760
DB00028	target	P12318	2212	Humans	yes	antagonist	17911465|20441428|17351760
DB00028	target	P31994	2213	Humans	yes	antagonist	17911465|20441428|17351760
DB00028	target	P31995	9103	Humans	yes	antagonist	17911465|20441428|17351760
DB00028	target	Q92637	2210	Humans	yes	antagonist	17911465|20441428|17351760
DB00028	target	P01024	718	Humans	yes	binder	20441428|17351760|17911465
DB00028	target	P0C0L4	720	Humans	yes	binder	20441428|17351760|17911465
DB00028	target	P0C0L4	721	Humans	yes	binder	20441428|17351760|17911465
DB00028	target	P0C0L5	100293534	Humans	yes	binder	20441428|17351760|17911465
DB00028	target	P0C0L5	721	Humans	yes	binder	20441428|17351760|17911465
DB00028	target	P01031	727	Humans	yes	binder	20441428|17351760|17911465
DB00029	target	P00747	5340	Humans	yes	activator	18673235|19436656|17963464|11752352
DB00029	target	P02671	2243	Humans	yes		17139284|17016423
DB00029	target	Q03405	5329	Humans	unknown		17139284|17016423
DB00029	target	P05121	5054	Humans	unknown		17963464
DB00030	enzyme	P05177	1544	Humans	unknown	inducer	1562279|12130701
DB00030	target	P06213	3643	Humans	yes	agonist	12970169|12038982|17722952|19683471|20230616|11752352
DB00030	target	P08069	3480	Humans	unknown		17139284|17016423|19145584|21219237|22420005
DB00030	target	P06400	5925	Humans	unknown		17139284|17016423|7818556
DB00030	target	P16870	1363	Humans	unknown	modulator	24843127
DB00030	enzyme	P14735	3416	Humans	unknown	cleavage	19785409
DB00030	enzyme	P16519	5126	Humans	unknown	activator	
DB00030	enzyme	P29120	5122	Humans	unknown	activator	
DB00031	target	P00747	5340	Humans	yes	activator	18673235|19436656|17963464|11752352
DB00031	target	P02671	2243	Humans	yes		19436656|18673235|17963464
DB00031	target	Q03405	5329	Humans	unknown		15231724|11447759|12210068
DB00031	target	P05121	5054	Humans	unknown		11163592|14564902|17963464
DB00031	target	P05120	5055	Humans	unknown		17141398|7958159|3091604
DB00031	target	P27797	811	Humans	unknown		9359841
DB00031	target	P27824	821	Humans	unknown		9359841
DB00031	target	Q07954	4035	Humans	unknown		8344937|1378833|16303771
DB00031	target	P05452	7123	Humans	unknown		12694198|9034981|17853709
DB00031	target	P05787	3856	Humans	unknown		9988531|8760360|8810346
DB00031	target	P07355	302	Humans	unknown		15194650|10578524|12730231
DB00032	target	P22888	3973	Humans	yes		17139284|17016423|14680547|7872378
DB00032	target	P23945	2492	Humans	yes	binder	17139284|17016423|14680547|7872378|11752352
DB00033	enzyme	P05177	1544	Humans	unknown	inhibitor	9064483|9103535
DB00033	target	P15260	3459	Humans	yes	binder	17251453|17618444|11752352
DB00033	target	P38484	3460	Humans	yes	binder	17239631|17618444|11752352
DB00034	target	P48551	3455	Humans	yes		15898717|18230610
DB00034	target	P17181	3454	Humans	yes		15898717|18230610
DB00034	enzyme	P05177	1544	Humans	unknown	inhibitor	9064483
DB00035	target	P30518	554	Humans	yes	agonist	18761325|16333859|11752352
DB00035	target	P37288	552	Humans	yes		10731046|10594321|8957254|15613460
DB00035	target	P47901	553	Humans	yes		15613460|14971638|18655906
DB00035	enzyme	P23219	5742	Humans	unknown	inducer	15644490
DB00035	enzyme	P35354	5743	Humans	unknown	inducer	15644490
DB00036	target	P00742	2159	Humans	unknown		5969560|13801371|13713641|14227143|13621053
DB00036	target	P05981	3249	Humans	unknown		17139284|17016423
DB00036	target	P10646	7035	Humans	unknown		11772005|7559599|8700900|12974870|11238112
DB00036	target	P38435	2677	Humans	unknown		17139284|17016423|10901669
DB00036	target	P08709	2155	Humans	unknown		10388743|11735107|12525826|15907148|16370916
DB00036	target	P13726	2152	Humans	unknown		13713641|1586032|6658368
DB00038	target	Q14626	3590	Humans	yes	agonist	11012177|11570967|8637716|8676079|9310465|11752352
DB00039	target	P21802	2263	Humans	yes	binder	17728847|16390600|16854582|7499435|9056643|10593896|17456767|11752352
DB00039	target	O14786	8829	Humans	unknown		10821861|9094999|9890894
DB00039	target	P11362	2260	Humans	unknown		11714710|10950949|11091737|10212269|9890894
DB00039	target	P22455	2264	Humans	unknown		7526860|10950949|9755102|9843417|11149756
DB00039	target	P22607	2261	Humans	unknown		11422746|11149756|10821861|7890137|7680555
DB00039	target	P98160	3339	Humans	unknown		10593896|9788974|16989989|14753849
DB00040	target	P47871	2642	Humans	yes	agonist	17462598|17620721|17623014|17534934|17479245|11752352|8020989|12529935|8144028
DB00040	target	O95838	9340	Humans	unknown	agonist	17139284|17016423|11212269|9990065|15817468|12529935
DB00040	target	P43220	2740	Humans	unknown	agonist	17475961|17498508|17534934|12529935
DB00041	target	P01589	3559	Humans	yes	agonist|modulator	17216565|16767920|17530023|17584597|16864089|11752352|10207608
DB00041	target	P14784	3560	Humans	yes	agonist|modulator	16477002|16542139|16569767|16596189|16617454|11752352
DB00041	target	P31785	3561	Humans	yes	agonist	16477002|17598841|17635814|17083048|17363735
DB00041	enzyme	P08684	1576	Humans	unknown	inhibitor	10086330|14977871
DB00041	enzyme	P35354	5743	Humans	unknown	inducer	10823885|18209082
DB00041	enzyme	P47712	5321	Humans	unknown	inducer	8536274
DB00041	enzyme	P47989	7498	Humans	unknown	inducer	8032542
DB00041	enzyme	P05181	1571	Humans	unknown	inhibitor	10086330
DB00042	target	P63027	6844	Humans	yes	binder	14573702|11752352
DB00042	target	P23763	6843	Humans	yes	binder	17139284|17016423|11752352
DB00042	target	Q8N9I0	127833	Humans	yes		17139284|17016423|19576489
DB00043	target	P12319	2205	Humans	yes	inhibitor	15356552|17368811|26288408
DB00043	target	Q01362	2206	Humans	yes	inhibitor	17139284|17016423|17073688|11678779
DB00044	target	P22888	3973	Humans	yes	agonist	17139284|17016423|20161981|11752352
DB00045	target	O60603	7097	Humans	yes	other/unknown	14617145
DB00046	enzyme	P05177	1544	Humans	unknown	inducer	1562279|12130701
DB00046	target	P06213	3643	Humans	yes	agonist	11752352|8964871|8937933|20424816
DB00046	target	P08069	3480	Humans	unknown		22420005
DB00047	enzyme	P05177	1544	Humans	unknown	inducer	1562279|12130701
DB00047	target	P06213	3643	Humans	yes	agonist	11752352|17922476|20424816|18585815
DB00047	target	P08069	3480	Humans	unknown		22420005|20938889|17922476
DB00048	target	P02452	1277	Humans	unknown		17440987|12855673|12535212|12101112|15659034
DB00048	target	P02458	1280	Humans	unknown		14613270|17652426|16507130|15299286|12890681
DB00048	target	P02461	1281	Humans	unknown		17139284|17016423|2145268
DB00048	target	P08123	1278	Humans	unknown		12101112
DB00050	target	P30968	2798	Humans	yes	antagonist	11854630|12606421|14561652|14605254|16809153|11752352
DB00050	target	P22888	3973	Humans	unknown		17139284|17016423|11943741
DB00051	target	P01375	7124	Humans	yes	antibody	12044041|14532145|15022409|15046527
DB00052	target	P10912	2690	Humans	yes	binder	16917171|16965663|17082603|17128263|17133434|11752352
DB00052	target	P16471	5618	Humans	yes		17279774|17395896|17317019|2270485
DB00054	target	O75015	2215	Humans	unknown		17139284|17016423
DB00054	target	P00736	715	Humans	unknown		17139284|17016423
DB00054	target	P02745	712	Humans	unknown		17139284|17016423
DB00054	target	P02746	713	Humans	unknown		17139284|17016423
DB00054	target	P02747	714	Humans	unknown		17139284|17016423
DB00054	target	P08637	2214	Humans	unknown		17139284|17016423
DB00054	target	P09871	716	Humans	unknown		17139284|17016423
DB00054	target	P12314	2209	Humans	unknown		17139284|17016423
DB00054	target	P12318	2212	Humans	unknown		17139284|17016423
DB00054	target	P31994	2213	Humans	unknown		17139284|17016423
DB00054	target	P31995	9103	Humans	unknown		17139284|17016423
DB00054	target	P05106	3690	Humans	yes	antagonist	11588534|12165285|17441904|11752352|18510478|12749745
DB00054	target	P08514	3674	Humans	yes	antagonist	19499855|18510478|12749745
DB00054	target	P04004	7448	Humans	unknown		17160551|12749745
DB00055	target	P00734	2147	Humans	unknown		10463819|12062545|12070133|12208873|12296618
DB00055	target	P05121	5054	Humans	unknown		11259926|17566522|12004248|14515185
DB00055	target	P05154	5104	Humans	unknown		10456457|7769227|9620917|8391599|12671072
DB00055	target	P38435	2677	Humans	unknown		17139284|17016423
DB00055	target	P00451	2157	Humans	yes	multitarget	9184404|18954704|11752352
DB00055	target	P12259	2153	Humans	yes	multitarget	11236773|11714212|11893230|12004250|12030642|11752352
DB00055	target	P07204	7056	Humans	unknown		11804648|15252033|1660324|2836377|3039877
DB00055	target	P07225	5627	Humans	unknown		12062545|1828915|3160800
DB00055	target	P00450	1356	Humans	unknown		17139284|17016423
DB00055	target	P02776	5196	Humans	unknown		11259926
DB00055	target	P35237	5269	Humans	unknown		17139284|17016423
DB00055	target	Q9UNN8	10544	Humans	unknown		9529319|12871285|12353077|17566522|15118520
DB00056	target	O75015	2215	Humans	unknown		9815888|9649182|7509291
DB00056	target	P00736	715	Humans	unknown		17139284|17016423
DB00056	target	P02745	712	Humans	unknown		17139284|17016423
DB00056	target	P02746	713	Humans	unknown		17139284|17016423
DB00056	target	P02747	714	Humans	unknown		17139284|17016423
DB00056	target	P08637	2214	Humans	unknown		17139284|17016423|7509291
DB00056	target	P09871	716	Humans	unknown		17139284|17016423
DB00056	target	P12314	2209	Humans	unknown		7509291
DB00056	target	P12318	2212	Humans	unknown		17139284|17016423
DB00056	target	P31994	2213	Humans	unknown		17139284|17016423
DB00056	target	P31995	9103	Humans	unknown		17139284|17016423
DB00056	target	P20138	945	Humans	yes	antibody	10942240|11249747|11342449|11410481|11432892|20564405|11752352
DB00058	target	P08246	1991	Humans	yes	inhibitor	20521180|16773239|11752352
DB00059	carrier	P05543	6906	Humans	no	inhibitor	
DB00060	target	P48551	3455	Humans	yes		16912135|11747625
DB00060	target	P17181	3454	Humans	yes	agonist	10049744|16912135|12034032|11747625
DB00060	enzyme	P05177	1544	Humans	unknown	inhibitor	9064483
DB00061	target	P62993	2885	Humans	unknown	binder	9299436
DB00063	target	P05106	3690	Humans	yes		11588534|14618072|15860200|12360110|14617694|12928738|10592235
DB00065	target	P01375	7124	Humans	yes	inhibitor	11752352|17642244|16052578|16456024|15674127|16622728|12110154|15481318|15691217|15691299|15804598
DB00066	target	P23945	2492	Humans	yes	agonist	11299519|7755615|2108722|8319832|8070368|18020563|11752352
DB00067	target	P30518	554	Humans	yes	agonist	17020465|16333859|16563128|17287200|11752352
DB00067	target	P37288	552	Humans	yes		17275806|16532916|16511036|16011575|17303660
DB00067	target	P47901	553	Humans	yes		17027167|16720725|17284170|16114100|15993108
DB00067	transporter	Q92887	1244	Humans	unknown	substrate	10692506
DB00068	target	P48551	3455	Humans	yes	agonist	10049744|11752352
DB00068	target	P17181	3454	Humans	yes	agonist	10049744|11752352
DB00068	enzyme	P05177	1544	Humans	unknown	inhibitor	9064483
DB00069	target	P48551	3455	Humans	yes	binder	8836913|12528473|11752352
DB00069	target	P17181	3454	Humans	yes	binder	17139284|17016423|12528473|11752352
DB00069	enzyme	P05177	1544	Humans	unknown	inhibitor	9064483
DB00070	target	P01137	7040	Humans	unknown	inhibitor	11327694|7648625|9435505|9850732
DB00070	carrier	P02768	213	Humans	unknown	inhibitor	10036158|10466114
DB00071	enzyme	P05177	1544	Humans	unknown	inducer	1562279|12130701
DB00071	target	P98164	4036	Humans	unknown		17139284|17016423|9773776|9051350|17018843
DB00071	target	P06213	3643	Humans	yes	binder	12038982|12970169|11752352
DB00071	target	P08069	3480	Humans	unknown		17139284|17016423|9846170|9582514|7476290
DB00071	target	P06400	5925	Humans	unknown		17139284|17016423|1701386
DB00071	target	P16870	1363	Humans	unknown		17139284|17016423|12588113|2481446|9452465
DB00071	target	P14735	3416	Humans	unknown		17139284|17016423|8504733|9643444|13560210
DB00071	target	P16519	5126	Humans	unknown		17139284|17016423|17221210|9662053|8666140
DB00071	target	P29120	5122	Humans	unknown		17139284|17016423|1435788|12136131|17097861
DB00071	target	P01906	3118	Humans	unknown		17139284|17016423|8200980|11006709|9458118
DB00071	target	P01920	3119	Humans	unknown		17139284|17016423|1728861|1612232|10592235
DB00071	target	P07339	1509	Humans	unknown		17139284|17016423|11779865|10229502|9130467
DB00071	target	P48745	4856	Humans	unknown		17139284|17016423|10084601|12149257|8622864
DB00071	target	Q16270	3490	Humans	unknown		17139284|17016423|11089538|17475416|10383131
DB00071	target	Q96C24	94121	Humans	unknown		17139284|17016423|16216924|16831872|15028737
DB00072	target	P00533	1956	Humans	unknown		11752352
DB00072	target	O75015	2215	Humans	unknown		16109421|15471859|14666732|15868915|15680154
DB00072	target	P00736	715	Humans	unknown		17139284|17016423
DB00072	target	P02745	712	Humans	unknown		17139284|17016423
DB00072	target	P02746	713	Humans	unknown		17139284|17016423
DB00072	target	P02747	714	Humans	unknown		17139284|17016423
DB00072	target	P08637	2214	Humans	unknown		17363544
DB00072	target	P09871	716	Humans	unknown		17139284|17016423
DB00072	target	P12314	2209	Humans	unknown		17139284|17016423|9435876
DB00072	target	P12318	2212	Humans	unknown		17139284|17016423|17704420
DB00072	target	P31994	2213	Humans	unknown		17139284|17016423
DB00072	target	P31995	9103	Humans	unknown		17139284|17016423
DB00072	target	P04626	2064	Humans	yes	antibody	11752352|18690878|17660958|11098307
DB00073	target	P11836	931	Humans	yes	antibody	11752352|20350667|20350663|9704735
DB00074	target	O75015	2215	Humans	unknown		17139284|17016423
DB00074	target	P00736	715	Humans	unknown		17139284|17016423
DB00074	target	P02745	712	Humans	unknown		17139284|17016423
DB00074	target	P02746	713	Humans	unknown		17139284|17016423
DB00074	target	P02747	714	Humans	unknown		17139284|17016423
DB00074	target	P08637	2214	Humans	unknown		17139284|17016423
DB00074	target	P09871	716	Humans	unknown		17139284|17016423
DB00074	target	P12314	2209	Humans	unknown		17139284|17016423
DB00074	target	P12318	2212	Humans	unknown		17139284|17016423
DB00074	target	P31994	2213	Humans	unknown		17139284|17016423
DB00074	target	P31995	9103	Humans	unknown		17139284|17016423
DB00074	target	P01589	3559	Humans	yes	antibody	12591363|9695721|16908318|10512062|10567956|11752352
DB00074	target	P14784	3560	Humans	unknown	antibody	10188761|10708100|11840795|12667677|12826150|11752352
DB00075	target	O75015	2215	Humans	unknown		10851527|10851498
DB00075	target	P00736	715	Humans	unknown		17139284|17016423
DB00075	target	P02745	712	Humans	unknown		17139284|17016423
DB00075	target	P02746	713	Humans	unknown		17139284|17016423
DB00075	target	P02747	714	Humans	unknown		17139284|17016423
DB00075	target	P08637	2214	Humans	unknown		17139284|17016423
DB00075	target	P09871	716	Humans	unknown		17139284|17016423
DB00075	target	P12314	2209	Humans	unknown		17139284|17016423
DB00075	target	P12318	2212	Humans	unknown		17139284|17016423
DB00075	target	P31994	2213	Humans	unknown		17139284|17016423
DB00075	target	P31995	9103	Humans	unknown		17139284|17016423
DB00075	target	P04234	915	Humans	yes		2503348|8861551
DB00075	target	P07766	916	Humans	yes	binder	17139284|17016423|11752352
DB00075	target	P09693	917	Humans	yes		2503348|8861551
DB00075	target	P20963	919	Humans	yes		2503348|8861551
DB00078	target	O75015	2215	Humans	unknown		17139284|17016423
DB00078	target	P00736	715	Humans	unknown		17139284|17016423
DB00078	target	P02745	712	Humans	unknown		17139284|17016423
DB00078	target	P02746	713	Humans	unknown		17139284|17016423
DB00078	target	P02747	714	Humans	unknown		17139284|17016423
DB00078	target	P08637	2214	Humans	unknown		17139284|17016423
DB00078	target	P09871	716	Humans	unknown		17139284|17016423
DB00078	target	P12314	2209	Humans	unknown		17139284|17016423
DB00078	target	P12318	2212	Humans	unknown		17139284|17016423
DB00078	target	P31994	2213	Humans	unknown		17139284|17016423
DB00078	target	P31995	9103	Humans	unknown		17139284|17016423
DB00078	target	P11836	931	Humans	yes	antibody	10541376|11418316|11879282|12011122|15045033|11752352|20113680
DB00081	target	O75015	2215	Humans	unknown		17139284|17016423
DB00081	target	P00736	715	Humans	unknown		17139284|17016423
DB00081	target	P02745	712	Humans	unknown		17139284|17016423
DB00081	target	P02746	713	Humans	unknown		17139284|17016423
DB00081	target	P02747	714	Humans	unknown		17139284|17016423
DB00081	target	P08637	2214	Humans	unknown		17139284|17016423
DB00081	target	P12314	2209	Humans	unknown		17139284|17016423
DB00081	target	P12318	2212	Humans	unknown		17139284|17016423
DB00081	target	P31994	2213	Humans	unknown		17139284|17016423
DB00081	target	P31995	9103	Humans	unknown		17139284|17016423
DB00081	target	P11836	931	Humans	yes	antibody	11418316|11879282|12899647|14748653|15023434|11752352|13129395
DB00082	enzyme	P08684	1576	Humans	unknown	inducer	9661620|16291874
DB00082	target	P10912	2690	Humans	yes	antagonist	19820031|17322491|11752352|20595800
DB00082	enzyme	Q02318	1593	Humans	unknown	inducer	12597773
DB00082	enzyme	P15104	2752	Humans	unknown	inhibitor	1970314
DB00082	enzyme	P33260	1562	Humans	unknown	inhibitor	19339376
DB00082	enzyme	P06276	590	Humans	unknown	inhibitor	3948777
DB00082	enzyme	Q02928	1579	Humans	unknown	inhibitor	19366684
DB00083	target	P60880	6616	Humans	yes	inhibitor	14644446|15222581|15484814|15749336|16831062|11752352
DB00083	target	P62745	388	Humans	unknown		15140914
DB00086	target	P00747	5340	Humans	yes	activator	10569766|10581996|10631997|10664583|10726310|11752352
DB00086	enzyme	P47712	5321	Humans	unknown	inducer	2265209
DB00086	target	P25116	2149	Humans	unknown	cleavage	10666203
DB00087	target	O75015	2215	Humans	unknown		9337053|8707338|9020367
DB00087	target	P00736	715	Humans	unknown		17139284|17016423
DB00087	target	P02745	712	Humans	unknown		17139284|17016423
DB00087	target	P02746	713	Humans	unknown		17139284|17016423
DB00087	target	P02747	714	Humans	unknown		17139284|17016423
DB00087	target	P08637	2214	Humans	unknown		15217834
DB00087	target	P12314	2209	Humans	unknown		17139284|17016423
DB00087	target	P12318	2212	Humans	unknown		15217834
DB00087	target	P31994	2213	Humans	unknown		17139284|17016423
DB00087	target	P31995	9103	Humans	unknown		17139284|17016423
DB00087	target	P31358	1043	Humans	yes	antibody	10092828|10366506|10520035|10573085|10744652|11752352|19479612|19343298
DB00089	target	Q04609	2346	Humans	yes	other/unknown	11016653|15882479|9508077|9792131|11752352
DB00091	enzyme	P08684	1576	Humans	unknown	substrate|inhibitor	10490933|25860376|22205779|2277139|23922006
DB00091	enzyme	P10635	1565	Humans	unknown	inhibitor	17202802
DB00091	transporter	P08183	5243	Humans	unknown	substrate|inhibitor	8842452|9333100|10227700|23922006
DB00091	transporter	Q92887	1244	Humans	unknown	inhibitor	15816878|12967592
DB00091	target	P49069	819	Humans	yes	binder	20927389|20674565|20602248|20637127|24682697|1502562
DB00091	target	Q96LZ3	5535	Humans	yes	inhibitor	20674565|23468591|7529175
DB00091	target	P62937	5478	Humans	yes	inhibitor|binder	17461417|17609268|20637127|20368803
DB00091	target	P30405	10105	Humans	yes	binder	2970139|2026447|1896075
DB00091	enzyme	P20815	1577	Humans	unknown	substrate	20368718|23354298|23922006
DB00091	enzyme	P33261	1557	Humans	unknown	inhibitor	17202802
DB00091	transporter	O95342	8647	Humans	unknown	substrate|inhibitor	12404239|10648470|27000539
DB00091	transporter	Q12908	6555	Humans	unknown	inhibitor	9458785|18668439
DB00091	transporter	Q14973	6554	Humans	unknown	inhibitor	9486191|18668439
DB00091	transporter	Q4U2R8	9356	Humans	unknown	substrate|inhibitor	9374486|27290622|29051147|25860376
DB00091	transporter	Q5T3U5	89845	Humans	unknown	substrate|inhibitor	12527806
DB00091	transporter	Q9UNQ0	9429	Humans	unknown	inhibitor	11437380|25860376
DB00091	transporter	Q9Y6L6	10599	Humans	unknown	substrate|inhibitor	12538813|14530907|23179780
DB00091	transporter	Q9NPD5	28234	Humans	no	inhibitor	25860376|22240838|23179780
DB00092	target	O75015	2215	Humans	unknown		11970990
DB00092	target	P00736	715	Humans	unknown		17139284|17016423
DB00092	target	P02745	712	Humans	unknown		17139284|17016423
DB00092	target	P02746	713	Humans	unknown		17139284|17016423
DB00092	target	P02747	714	Humans	unknown		17139284|17016423
DB00092	target	P08637	2214	Humans	unknown		17139284|17016423|11970990|12795239
DB00092	target	P12314	2209	Humans	unknown		17139284|17016423
DB00092	target	P12318	2212	Humans	unknown		17139284|17016423
DB00092	target	P31994	2213	Humans	unknown		17139284|17016423
DB00092	target	P31995	9103	Humans	unknown		17139284|17016423
DB00092	target	P06729	914	Humans	yes	inhibitor	17555598|11970990|17403057|14968366|12795770|11752352
