drugbank_id	mesh_id	source	target	edges
DB00014	D008796	Compound::DB00014	Disease::MESH:D008796	DRUGBANK::treats::Compound:Disease
DB00014	D002277	Compound::DB00014	Disease::MESH:D002277	DRUGBANK::treats::Compound:Disease
DB00015	D009203	Compound::DB00015	Disease::MESH:D009203	DRUGBANK::treats::Compound:Disease
DB00016	D000740	Compound::DB00016	Disease::MESH:D000740	DRUGBANK::treats::Compound:Disease
DB00016	D007676	Compound::DB00016	Disease::MESH:D007676	DRUGBANK::treats::Compound:Disease
DB00017	D006934	Compound::DB00017	Disease::MESH:D006934	DRUGBANK::treats::Compound:Disease
DB00017	D053099	Compound::DB00017	Disease::MESH:D053099	DRUGBANK::treats::Compound:Disease
DB00017	D015663	Compound::DB00017	Disease::MESH:D015663	DRUGBANK::treats::Compound:Disease
DB00019	D064147	Compound::DB00019	Disease::MESH:D064147	DRUGBANK::treats::Compound:Disease
DB00019	D054508	Compound::DB00019	Disease::MESH:D054508	DRUGBANK::treats::Compound:Disease
DB00020	D002277	Compound::DB00020	Disease::MESH:D002277	DRUGBANK::treats::Compound:Disease
DB00023	D054198	Compound::DB00023	Disease::MESH:D054198	DRUGBANK::treats::Compound:Disease
DB00024	D013964	Compound::DB00024	Disease::MESH:D013964	DRUGBANK::treats::Compound:Disease
DB00025	D006467	Compound::DB00025	Disease::MESH:D006467	DRUGBANK::treats::Compound:Disease
DB00025	D014842	Compound::DB00025	Disease::MESH:D014842	DRUGBANK::treats::Compound:Disease
DB00025	D005177	Compound::DB00025	Disease::MESH:D005177	DRUGBANK::treats::Compound:Disease
DB00026	D001172	Compound::DB00026	Disease::MESH:D001172	DRUGBANK::treats::Compound:Disease
DB00027	D015817	Compound::DB00027	Disease::MESH:D015817	DRUGBANK::treats::Compound:Disease
DB00028	D001327	Compound::DB00028	Disease::MESH:D001327	DRUGBANK::treats::Compound:Disease
DB00028	D016553	Compound::DB00028	Disease::MESH:D016553	DRUGBANK::treats::Compound:Disease
DB00028	D009080	Compound::DB00028	Disease::MESH:D009080	DRUGBANK::treats::Compound:Disease
DB00028	D000361	Compound::DB00028	Disease::MESH:D000361	DRUGBANK::treats::Compound:Disease
DB00028	D015451	Compound::DB00028	Disease::MESH:D015451	DRUGBANK::treats::Compound:Disease
DB00028	D020275	Compound::DB00028	Disease::MESH:D020275	DRUGBANK::treats::Compound:Disease
DB00028	D020277	Compound::DB00028	Disease::MESH:D020277	DRUGBANK::treats::Compound:Disease
DB00028	D009103	Compound::DB00028	Disease::MESH:D009103	DRUGBANK::treats::Compound:Disease
DB00028	D001172	Compound::DB00028	Disease::MESH:D001172	DRUGBANK::treats::Compound:Disease
DB00028	D003093	Compound::DB00028	Disease::MESH:D003093	DRUGBANK::treats::Compound:Disease
DB00028	D014923	Compound::DB00028	Disease::MESH:D014923	DRUGBANK::treats::Compound:Disease
DB00028	D012871	Compound::DB00028	Disease::MESH:D012871	DRUGBANK::treats::Compound:Disease
DB00029	D009203	Compound::DB00029	Disease::MESH:D009203	DRUGBANK::treats::Compound:Disease
DB00030	D003920	Compound::DB00030	Disease::MESH:D003920	DRUGBANK::treats::Compound:Disease
DB00031	D009203	Compound::DB00031	Disease::MESH:D009203	DRUGBANK::treats::Compound:Disease
DB00032	D007247	Compound::DB00032	Disease::MESH:D007247	DRUGBANK::treats::Compound:Disease
DB00033	D006105	Compound::DB00033	Disease::MESH:D006105	DRUGBANK::treats::Compound:Disease
DB00033	D010022	Compound::DB00033	Disease::MESH:D010022	DRUGBANK::treats::Compound:Disease
DB00034	D006526	Compound::DB00034	Disease::MESH:D006526	DRUGBANK::treats::Compound:Disease
DB00034	D007943	Compound::DB00034	Disease::MESH:D007943	DRUGBANK::treats::Compound:Disease
DB00034	D015464	Compound::DB00034	Disease::MESH:D015464	DRUGBANK::treats::Compound:Disease
DB00034	D015658	Compound::DB00034	Disease::MESH:D015658	DRUGBANK::treats::Compound:Disease
DB00035	D053158	Compound::DB00035	Disease::MESH:D053158	DRUGBANK::treats::Compound:Disease
DB00035	D011141	Compound::DB00035	Disease::MESH:D011141	DRUGBANK::treats::Compound:Disease
DB00035	D020790	Compound::DB00035	Disease::MESH:D020790	DRUGBANK::treats::Compound:Disease
DB00035	D059606	Compound::DB00035	Disease::MESH:D059606	DRUGBANK::treats::Compound:Disease
DB00035	D006259	Compound::DB00035	Disease::MESH:D006259	DRUGBANK::treats::Compound:Disease
DB00035	D006467	Compound::DB00035	Disease::MESH:D006467	DRUGBANK::treats::Compound:Disease
DB00035	D014842	Compound::DB00035	Disease::MESH:D014842	DRUGBANK::treats::Compound:Disease
DB00035	C563052	Compound::DB00035	Disease::MESH:C563052	DRUGBANK::treats::Compound:Disease
DB00036	D002836	Compound::DB00036	Disease::MESH:D002836	DRUGBANK::treats::Compound:Disease
DB00038	D013921	Compound::DB00038	Disease::MESH:D013921	DRUGBANK::treats::Compound:Disease
DB00038	D016609	Compound::DB00038	Disease::MESH:D016609	DRUGBANK::treats::Compound:Disease
DB00039	D013280	Compound::DB00039	Disease::MESH:D013280	DRUGBANK::treats::Compound:Disease
DB00040	D007003	Compound::DB00040	Disease::MESH:D007003	DRUGBANK::treats::Compound:Disease
DB00041	D002292	Compound::DB00041	Disease::MESH:D002292	DRUGBANK::treats::Compound:Disease
DB00042	D014103	Compound::DB00042	Disease::MESH:D014103	DRUGBANK::treats::Compound:Disease
DB00042	D019547	Compound::DB00042	Disease::MESH:D019547	DRUGBANK::treats::Compound:Disease
DB00043	D001249	Compound::DB00043	Disease::MESH:D001249	DRUGBANK::treats::Compound:Disease
DB00044	D007246	Compound::DB00044	Disease::MESH:D007246	DRUGBANK::treats::Compound:Disease
DB00044	D007018	Compound::DB00044	Disease::MESH:D007018	DRUGBANK::treats::Compound:Disease
DB00044	D007713	Compound::DB00044	Disease::MESH:D007713	DRUGBANK::treats::Compound:Disease
DB00044	C567320	Compound::DB00044	Disease::MESH:C567320	DRUGBANK::treats::Compound:Disease
DB00045	D008193	Compound::DB00045	Disease::MESH:D008193	DRUGBANK::treats::Compound:Disease
DB00046	D003920	Compound::DB00046	Disease::MESH:D003920	DRUGBANK::treats::Compound:Disease
DB00047	D003922	Compound::DB00047	Disease::MESH:D003922	DRUGBANK::treats::Compound:Disease
DB00047	D003924	Compound::DB00047	Disease::MESH:D003924	DRUGBANK::treats::Compound:Disease
DB00048	D002056	Compound::DB00048	Disease::MESH:D002056	DRUGBANK::treats::Compound:Disease
DB00048	D014456	Compound::DB00048	Disease::MESH:D014456	DRUGBANK::treats::Compound:Disease
DB00048	D003668	Compound::DB00048	Disease::MESH:D003668	DRUGBANK::treats::Compound:Disease
DB00049	D033461	Compound::DB00049	Disease::MESH:D033461	DRUGBANK::treats::Compound:Disease
DB00051	D001172	Compound::DB00051	Disease::MESH:D001172	DRUGBANK::treats::Compound:Disease
DB00051	D001171	Compound::DB00051	Disease::MESH:D001171	DRUGBANK::treats::Compound:Disease
DB00051	D015535	Compound::DB00051	Disease::MESH:D015535	DRUGBANK::treats::Compound:Disease
DB00051	D013167	Compound::DB00051	Disease::MESH:D013167	DRUGBANK::treats::Compound:Disease
DB00051	D003424	Compound::DB00051	Disease::MESH:D003424	DRUGBANK::treats::Compound:Disease
DB00051	C536315	Compound::DB00051	Disease::MESH:C536315	DRUGBANK::treats::Compound:Disease
DB00051	D015864	Compound::DB00051	Disease::MESH:D015864	DRUGBANK::treats::Compound:Disease
DB00052	D000172	Compound::DB00052	Disease::MESH:D000172	DRUGBANK::treats::Compound:Disease
DB00053	D005776	Compound::DB00053	Disease::MESH:D005776	DRUGBANK::treats::Compound:Disease
DB00054	D000789	Compound::DB00054	Disease::MESH:D000789	DRUGBANK::treats::Compound:Disease
DB00055	D018805	Compound::DB00055	Disease::MESH:D018805	DRUGBANK::treats::Compound:Disease
DB00056	D015470	Compound::DB00056	Disease::MESH:D015470	DRUGBANK::treats::Compound:Disease
DB00057	D001650	Compound::DB00057	Disease::MESH:D001650	DRUGBANK::treats::Compound:Disease
DB00058	D004646	Compound::DB00058	Disease::MESH:D004646	DRUGBANK::treats::Compound:Disease
DB00059	D054198	Compound::DB00059	Disease::MESH:D054198	DRUGBANK::treats::Compound:Disease
DB00060	D009103	Compound::DB00060	Disease::MESH:D009103	DRUGBANK::treats::Compound:Disease
DB00062	D020896	Compound::DB00062	Disease::MESH:D020896	DRUGBANK::treats::Compound:Disease
DB00062	D001201	Compound::DB00062	Disease::MESH:D001201	DRUGBANK::treats::Compound:Disease
DB00062	D034141	Compound::DB00062	Disease::MESH:D034141	DRUGBANK::treats::Compound:Disease
DB00062	D002056	Compound::DB00062	Disease::MESH:D002056	DRUGBANK::treats::Compound:Disease
DB00062	D009401	Compound::DB00062	Disease::MESH:D009401	DRUGBANK::treats::Compound:Disease
DB00062	D012127	Compound::DB00062	Disease::MESH:D012127	DRUGBANK::treats::Compound:Disease
DB00063	D009203	Compound::DB00063	Disease::MESH:D009203	DRUGBANK::treats::Compound:Disease
DB00063	D054058	Compound::DB00063	Disease::MESH:D054058	DRUGBANK::treats::Compound:Disease
DB00065	D003424	Compound::DB00065	Disease::MESH:D003424	DRUGBANK::treats::Compound:Disease
DB00065	D012006	Compound::DB00065	Disease::MESH:D012006	DRUGBANK::treats::Compound:Disease
DB00065	C536315	Compound::DB00065	Disease::MESH:C536315	DRUGBANK::treats::Compound:Disease
DB00065	D001172	Compound::DB00065	Disease::MESH:D001172	DRUGBANK::treats::Compound:Disease
DB00065	D013167	Compound::DB00065	Disease::MESH:D013167	DRUGBANK::treats::Compound:Disease
DB00065	D001168	Compound::DB00065	Disease::MESH:D001168	DRUGBANK::treats::Compound:Disease
DB00065	D015535	Compound::DB00065	Disease::MESH:D015535	DRUGBANK::treats::Compound:Disease
DB00066	D007006	Compound::DB00066	Disease::MESH:D007006	DRUGBANK::treats::Compound:Disease
DB00067	D004775	Compound::DB00067	Disease::MESH:D004775	DRUGBANK::treats::Compound:Disease
DB00067	D011141	Compound::DB00067	Disease::MESH:D011141	DRUGBANK::treats::Compound:Disease
DB00067	D003919	Compound::DB00067	Disease::MESH:D003919	DRUGBANK::treats::Compound:Disease
DB00067	D059606	Compound::DB00067	Disease::MESH:D059606	DRUGBANK::treats::Compound:Disease
DB00067	D004932	Compound::DB00067	Disease::MESH:D004932	DRUGBANK::treats::Compound:Disease
DB00068	D009103	Compound::DB00068	Disease::MESH:D009103	DRUGBANK::treats::Compound:Disease
DB00069	D007943	Compound::DB00069	Disease::MESH:D007943	DRUGBANK::treats::Compound:Disease
DB00069	D008545	Compound::DB00069	Disease::MESH:D008545	DRUGBANK::treats::Compound:Disease
DB00071	D003924	Compound::DB00071	Disease::MESH:D003924	DRUGBANK::treats::Compound:Disease
DB00072	D009362	Compound::DB00072	Disease::MESH:D009362	DRUGBANK::treats::Compound:Disease
DB00072	D001943	Compound::DB00072	Disease::MESH:D001943	DRUGBANK::treats::Compound:Disease
DB00073	D008228	Compound::DB00073	Disease::MESH:D008228	DRUGBANK::treats::Compound:Disease
DB00073	D015451	Compound::DB00073	Disease::MESH:D015451	DRUGBANK::treats::Compound:Disease
DB00073	D001172	Compound::DB00073	Disease::MESH:D001172	DRUGBANK::treats::Compound:Disease
DB00073	D055953	Compound::DB00073	Disease::MESH:D055953	DRUGBANK::treats::Compound:Disease
DB00073	D014890	Compound::DB00073	Disease::MESH:D014890	DRUGBANK::treats::Compound:Disease
DB00073	D010392	Compound::DB00073	Disease::MESH:D010392	DRUGBANK::treats::Compound:Disease
DB00073	D011087	Compound::DB00073	Disease::MESH:D011087	DRUGBANK::treats::Compound:Disease
DB00076	D064420	Compound::DB00076	Disease::MESH:D064420	DRUGBANK::treats::Compound:Disease
DB00078	D008228	Compound::DB00078	Disease::MESH:D008228	DRUGBANK::treats::Compound:Disease
DB00080	D013207	Compound::DB00080	Disease::MESH:D013207	DRUGBANK::treats::Compound:Disease
DB00081	D008228	Compound::DB00081	Disease::MESH:D008228	DRUGBANK::treats::Compound:Disease
DB00082	D000172	Compound::DB00082	Disease::MESH:D000172	DRUGBANK::treats::Compound:Disease
DB00083	D014103	Compound::DB00083	Disease::MESH:D014103	DRUGBANK::treats::Compound:Disease
DB00083	D019547	Compound::DB00083	Disease::MESH:D019547	DRUGBANK::treats::Compound:Disease
DB00083	D006945	Compound::DB00083	Disease::MESH:D006945	DRUGBANK::treats::Compound:Disease
DB00083	D013285	Compound::DB00083	Disease::MESH:D013285	DRUGBANK::treats::Compound:Disease
DB00083	D001764	Compound::DB00083	Disease::MESH:D001764	DRUGBANK::treats::Compound:Disease
DB00083	D020821	Compound::DB00083	Disease::MESH:D020821	DRUGBANK::treats::Compound:Disease
DB00083	D004421	Compound::DB00083	Disease::MESH:D004421	DRUGBANK::treats::Compound:Disease
DB00083	C535428	Compound::DB00083	Disease::MESH:C535428	DRUGBANK::treats::Compound:Disease
DB00083	D005155	Compound::DB00083	Disease::MESH:D005155	DRUGBANK::treats::Compound:Disease
DB00085	D010188	Compound::DB00085	Disease::MESH:D010188	DRUGBANK::treats::Compound:Disease
DB00085	D003550	Compound::DB00085	Disease::MESH:D003550	DRUGBANK::treats::Compound:Disease
DB00085	D050500	Compound::DB00085	Disease::MESH:D050500	DRUGBANK::treats::Compound:Disease
DB00085	D010182	Compound::DB00085	Disease::MESH:D010182	DRUGBANK::treats::Compound:Disease
DB00085	D044342	Compound::DB00085	Disease::MESH:D044342	DRUGBANK::treats::Compound:Disease
DB00085	D015431	Compound::DB00085	Disease::MESH:D015431	DRUGBANK::treats::Compound:Disease
DB00085	D045602	Compound::DB00085	Disease::MESH:D045602	DRUGBANK::treats::Compound:Disease
DB00086	D011655	Compound::DB00086	Disease::MESH:D011655	DRUGBANK::treats::Compound:Disease
DB00086	D020246	Compound::DB00086	Disease::MESH:D020246	DRUGBANK::treats::Compound:Disease
DB00087	D015451	Compound::DB00087	Disease::MESH:D015451	DRUGBANK::treats::Compound:Disease
DB00088	D005776	Compound::DB00088	Disease::MESH:D005776	DRUGBANK::treats::Compound:Disease
DB00089	D011471	Compound::DB00089	Disease::MESH:D011471	DRUGBANK::treats::Compound:Disease
DB00090	D009083	Compound::DB00090	Disease::MESH:D009083	DRUGBANK::treats::Compound:Disease
DB00091	D006335	Compound::DB00091	Disease::MESH:D006335	DRUGBANK::treats::Compound:Disease
DB00091	D004194	Compound::DB00091	Disease::MESH:D004194	DRUGBANK::treats::Compound:Disease
DB00091	D006086	Compound::DB00091	Disease::MESH:D006086	DRUGBANK::treats::Compound:Disease
DB00091	D001172	Compound::DB00091	Disease::MESH:D001172	DRUGBANK::treats::Compound:Disease
DB00091	D007638	Compound::DB00091	Disease::MESH:D007638	DRUGBANK::treats::Compound:Disease
DB00091	D009404	Compound::DB00091	Disease::MESH:D009404	DRUGBANK::treats::Compound:Disease
DB00091	C537923	Compound::DB00091	Disease::MESH:C537923	DRUGBANK::treats::Compound:Disease
DB00091	D015433	Compound::DB00091	Disease::MESH:D015433	DRUGBANK::treats::Compound:Disease
DB00091	C538273	Compound::DB00091	Disease::MESH:C538273	DRUGBANK::treats::Compound:Disease
DB00091	D003876	Compound::DB00091	Disease::MESH:D003876	DRUGBANK::treats::Compound:Disease
DB00091	D001768	Compound::DB00091	Disease::MESH:D001768	DRUGBANK::treats::Compound:Disease
DB00091	C536315	Compound::DB00091	Disease::MESH:C536315	DRUGBANK::treats::Compound:Disease
DB00091	D014605	Compound::DB00091	Disease::MESH:D014605	DRUGBANK::treats::Compound:Disease
DB00091	D003240	Compound::DB00091	Disease::MESH:D003240	DRUGBANK::treats::Compound:Disease
DB00091	D016553	Compound::DB00091	Disease::MESH:D016553	DRUGBANK::treats::Compound:Disease
DB00093	D007511	Compound::DB00093	Disease::MESH:D007511	DRUGBANK::treats::Compound:Disease
DB00094	D007247	Compound::DB00094	Disease::MESH:D007247	DRUGBANK::treats::Compound:Disease
DB00097	D007247	Compound::DB00097	Disease::MESH:D007247	DRUGBANK::treats::Compound:Disease
DB00099	D064147	Compound::DB00099	Disease::MESH:D064147	DRUGBANK::treats::Compound:Disease
DB00099	D016609	Compound::DB00099	Disease::MESH:D016609	DRUGBANK::treats::Compound:Disease
DB00099	D009503	Compound::DB00099	Disease::MESH:D009503	DRUGBANK::treats::Compound:Disease
DB00099	D005334	Compound::DB00099	Disease::MESH:D005334	DRUGBANK::treats::Compound:Disease
DB00099	D015470	Compound::DB00099	Disease::MESH:D015470	DRUGBANK::treats::Compound:Disease
DB00099	D014456	Compound::DB00099	Disease::MESH:D014456	DRUGBANK::treats::Compound:Disease
DB00099	C536227	Compound::DB00099	Disease::MESH:C536227	DRUGBANK::treats::Compound:Disease
DB00100	D006467	Compound::DB00100	Disease::MESH:D006467	DRUGBANK::treats::Compound:Disease
DB00100	D002836	Compound::DB00100	Disease::MESH:D002836	DRUGBANK::treats::Compound:Disease
DB00102	D012883	Compound::DB00102	Disease::MESH:D012883	DRUGBANK::treats::Compound:Disease
DB00103	D000795	Compound::DB00103	Disease::MESH:D000795	DRUGBANK::treats::Compound:Disease
DB00104	D000172	Compound::DB00104	Disease::MESH:D000172	DRUGBANK::treats::Compound:Disease
DB00104	C565627	Compound::DB00104	Disease::MESH:C565627	DRUGBANK::treats::Compound:Disease
DB00104	D003967	Compound::DB00104	Disease::MESH:D003967	DRUGBANK::treats::Compound:Disease
DB00104	D002276	Compound::DB00104	Disease::MESH:D002276	DRUGBANK::treats::Compound:Disease
DB00105	D007943	Compound::DB00105	Disease::MESH:D007943	DRUGBANK::treats::Compound:Disease
DB00105	D008545	Compound::DB00105	Disease::MESH:D008545	DRUGBANK::treats::Compound:Disease
DB00106	D011471	Compound::DB00106	Disease::MESH:D011471	DRUGBANK::treats::Compound:Disease
DB00108	D009103	Compound::DB00108	Disease::MESH:D009103	DRUGBANK::treats::Compound:Disease
DB00110	D012120	Compound::DB00110	Disease::MESH:D012120	DRUGBANK::treats::Compound:Disease
DB00112	D009362	Compound::DB00112	Disease::MESH:D009362	DRUGBANK::treats::Compound:Disease
DB00112	D002289	Compound::DB00112	Disease::MESH:D002289	DRUGBANK::treats::Compound:Disease
DB00112	D002292	Compound::DB00112	Disease::MESH:D002292	DRUGBANK::treats::Compound:Disease
DB00112	D002583	Compound::DB00112	Disease::MESH:D002583	DRUGBANK::treats::Compound:Disease
DB00112	C538090	Compound::DB00112	Disease::MESH:C538090	DRUGBANK::treats::Compound:Disease
DB00112	D005185	Compound::DB00112	Disease::MESH:D005185	DRUGBANK::treats::Compound:Disease
DB00112	D005909	Compound::DB00112	Disease::MESH:D005909	DRUGBANK::treats::Compound:Disease
DB00112	D012128	Compound::DB00112	Disease::MESH:D012128	DRUGBANK::treats::Compound:Disease
DB00112	D055371	Compound::DB00112	Disease::MESH:D055371	DRUGBANK::treats::Compound:Disease
DB00113	D015179	Compound::DB00113	Disease::MESH:D015179	DRUGBANK::treats::Compound:Disease
DB00115	D014806	Compound::DB00115	Disease::MESH:D014806	DRUGBANK::treats::Compound:Disease
DB00115	D009461	Compound::DB00115	Disease::MESH:D009461	DRUGBANK::treats::Compound:Disease
DB00115	D000752	Compound::DB00115	Disease::MESH:D000752	DRUGBANK::treats::Compound:Disease
DB00115	D002446	Compound::DB00115	Disease::MESH:D002446	DRUGBANK::treats::Compound:Disease
DB00115	D005494	Compound::DB00115	Disease::MESH:D005494	DRUGBANK::treats::Compound:Disease
DB00115	D006111	Compound::DB00115	Disease::MESH:D006111	DRUGBANK::treats::Compound:Disease
DB00115	D013971	Compound::DB00115	Disease::MESH:D013971	DRUGBANK::treats::Compound:Disease
DB00115	D000743	Compound::DB00115	Disease::MESH:D000743	DRUGBANK::treats::Compound:Disease
DB00115	D006470	Compound::DB00115	Disease::MESH:D006470	DRUGBANK::treats::Compound:Disease
DB00117	D001172	Compound::DB00117	Disease::MESH:D001172	DRUGBANK::treats::Compound:Disease
DB00117	D000740	Compound::DB00117	Disease::MESH:D000740	DRUGBANK::treats::Compound:Disease
DB00117	D014511	Compound::DB00117	Disease::MESH:D014511	DRUGBANK::treats::Compound:Disease
DB00118	D008107	Compound::DB00118	Disease::MESH:D008107	DRUGBANK::treats::Compound:Disease
DB00118	D005356	Compound::DB00118	Disease::MESH:D005356	DRUGBANK::treats::Compound:Disease
DB00118	D010003	Compound::DB00118	Disease::MESH:D010003	DRUGBANK::treats::Compound:Disease
DB00120	D014820	Compound::DB00120	Disease::MESH:D014820	DRUGBANK::treats::Compound:Disease
DB00120	D009069	Compound::DB00120	Disease::MESH:D009069	DRUGBANK::treats::Compound:Disease
DB00120	D000071057	Compound::DB00120	Disease::MESH:D000071057	DRUGBANK::treats::Compound:Disease
DB00120	D012559	Compound::DB00120	Disease::MESH:D012559	DRUGBANK::treats::Compound:Disease
DB00126	D001206	Compound::DB00126	Disease::MESH:D001206	DRUGBANK::treats::Compound:Disease
DB00126	D012614	Compound::DB00126	Disease::MESH:D012614	DRUGBANK::treats::Compound:Disease
DB00130	D000755	Compound::DB00130	Disease::MESH:D000755	DRUGBANK::treats::Compound:Disease
DB00135	D009290	Compound::DB00135	Disease::MESH:D009290	DRUGBANK::treats::Compound:Disease
DB00135	D015673	Compound::DB00135	Disease::MESH:D015673	DRUGBANK::treats::Compound:Disease
DB00136	D014808	Compound::DB00136	Disease::MESH:D014808	DRUGBANK::treats::Compound:Disease
DB00136	D048550	Compound::DB00136	Disease::MESH:D048550	DRUGBANK::treats::Compound:Disease
DB00136	D063730	Compound::DB00136	Disease::MESH:D063730	DRUGBANK::treats::Compound:Disease
DB00136	D007015	Compound::DB00136	Disease::MESH:D007015	DRUGBANK::treats::Compound:Disease
DB00136	D007011	Compound::DB00136	Disease::MESH:D007011	DRUGBANK::treats::Compound:Disease
DB00136	D006996	Compound::DB00136	Disease::MESH:D006996	DRUGBANK::treats::Compound:Disease
DB00136	D012080	Compound::DB00136	Disease::MESH:D012080	DRUGBANK::treats::Compound:Disease
DB00136	D007676	Compound::DB00136	Disease::MESH:D007676	DRUGBANK::treats::Compound:Disease
DB00136	D010024	Compound::DB00136	Disease::MESH:D010024	DRUGBANK::treats::Compound:Disease
DB00138	D010003	Compound::DB00138	Disease::MESH:D010003	DRUGBANK::treats::Compound:Disease
DB00138	D001172	Compound::DB00138	Disease::MESH:D001172	DRUGBANK::treats::Compound:Disease
DB00140	D012257	Compound::DB00140	Disease::MESH:D012257	DRUGBANK::treats::Compound:Disease
DB00141	D010003	Compound::DB00141	Disease::MESH:D010003	DRUGBANK::treats::Compound:Disease
DB00142	D014456	Compound::DB00142	Disease::MESH:D014456	DRUGBANK::treats::Compound:Disease
DB00142	D000437	Compound::DB00142	Disease::MESH:D000437	DRUGBANK::treats::Compound:Disease
DB00142	D012559	Compound::DB00142	Disease::MESH:D012559	DRUGBANK::treats::Compound:Disease
DB00144	D000544	Compound::DB00144	Disease::MESH:D000544	DRUGBANK::treats::Compound:Disease
DB00144	D008569	Compound::DB00144	Disease::MESH:D008569	DRUGBANK::treats::Compound:Disease
DB00146	D014808	Compound::DB00146	Disease::MESH:D014808	DRUGBANK::treats::Compound:Disease
DB00146	D048550	Compound::DB00146	Disease::MESH:D048550	DRUGBANK::treats::Compound:Disease
DB00146	D063730	Compound::DB00146	Disease::MESH:D063730	DRUGBANK::treats::Compound:Disease
DB00146	D007015	Compound::DB00146	Disease::MESH:D007015	DRUGBANK::treats::Compound:Disease
DB00146	D007011	Compound::DB00146	Disease::MESH:D007011	DRUGBANK::treats::Compound:Disease
DB00146	D006996	Compound::DB00146	Disease::MESH:D006996	DRUGBANK::treats::Compound:Disease
DB00146	D012080	Compound::DB00146	Disease::MESH:D012080	DRUGBANK::treats::Compound:Disease
DB00146	D007676	Compound::DB00146	Disease::MESH:D007676	DRUGBANK::treats::Compound:Disease
DB00146	D010024	Compound::DB00146	Disease::MESH:D010024	DRUGBANK::treats::Compound:Disease
DB00149	D014947	Compound::DB00149	Disease::MESH:D014947	DRUGBANK::treats::Compound:Disease
DB00152	D013832	Compound::DB00152	Disease::MESH:D013832	DRUGBANK::treats::Compound:Disease
DB00152	D011604	Compound::DB00152	Disease::MESH:D011604	DRUGBANK::treats::Compound:Disease
DB00152	D020915	Compound::DB00152	Disease::MESH:D020915	DRUGBANK::treats::Compound:Disease
DB00152	D003693	Compound::DB00152	Disease::MESH:D003693	DRUGBANK::treats::Compound:Disease
DB00152	D009443	Compound::DB00152	Disease::MESH:D009443	DRUGBANK::treats::Compound:Disease
DB00153	D007011	Compound::DB00153	Disease::MESH:D007011	DRUGBANK::treats::Compound:Disease
DB00153	D012279	Compound::DB00153	Disease::MESH:D012279	DRUGBANK::treats::Compound:Disease
DB00153	D007015	Compound::DB00153	Disease::MESH:D007015	DRUGBANK::treats::Compound:Disease
DB00153	D001361	Compound::DB00153	Disease::MESH:D001361	DRUGBANK::treats::Compound:Disease
DB00153	D007674	Compound::DB00153	Disease::MESH:D007674	DRUGBANK::treats::Compound:Disease
DB00153	D010018	Compound::DB00153	Disease::MESH:D010018	DRUGBANK::treats::Compound:Disease
DB00157	D010300	Compound::DB00157	Disease::MESH:D010300	DRUGBANK::treats::Compound:Disease
DB00157	D015673	Compound::DB00157	Disease::MESH:D015673	DRUGBANK::treats::Compound:Disease
DB00157	D000544	Compound::DB00157	Disease::MESH:D000544	DRUGBANK::treats::Compound:Disease
DB00157	D002318	Compound::DB00157	Disease::MESH:D002318	DRUGBANK::treats::Compound:Disease
DB00158	D005494	Compound::DB00158	Disease::MESH:D005494	DRUGBANK::treats::Compound:Disease
DB00158	D000749	Compound::DB00158	Disease::MESH:D000749	DRUGBANK::treats::Compound:Disease
DB00158	D000740	Compound::DB00158	Disease::MESH:D000740	DRUGBANK::treats::Compound:Disease
